0,1,2,3,4
1.4174301e-06,0.40275455,0.17209965,0.18130824,0.24383613
6.208203e-07,0.40211305,0.17660567,0.16774711,0.25353357
8.66598e-07,0.39962816,0.18588701,0.17828834,0.2361956
1.4824925e-06,0.40635,0.18194354,0.17562364,0.23608142
1.6839617e-06,0.40939617,0.18174732,0.17345135,0.23540352
1.7882343e-06,0.39940238,0.18556882,0.1822762,0.23275082
1.852534e-06,0.4011604,0.18529606,0.18525937,0.22828233
5.2286755e-06,0.4104163,0.18396181,0.1846127,0.221004
1.0392655e-05,0.41073713,0.18156683,0.19237633,0.21530929
4.7986905e-06,0.4074777,0.18513821,0.18638557,0.22099371
5.1145257e-06,0.40308318,0.19075322,0.19171846,0.21444009
4.172041e-06,0.40601522,0.18817088,0.18605281,0.219757
6.5067334e-06,0.41004637,0.18505526,0.18645671,0.21843517
5.124989e-06,0.40854272,0.19310467,0.18346655,0.21488099
3.4547306e-06,0.40407065,0.1919862,0.1849272,0.21901251
4.787946e-06,0.4017806,0.19396468,0.19079864,0.21345131
8.553875e-06,0.40792954,0.1837124,0.19158065,0.21676877
1.9518777e-05,0.41048804,0.18752842,0.19154689,0.21041714
7.956959e-06,0.41103765,0.18743175,0.19024654,0.21127614
1.554334e-05,0.4077629,0.19280936,0.19418083,0.20523128
2.7107526e-05,0.40916452,0.18580881,0.19671087,0.20828865
9.228166e-05,0.4180706,0.19233215,0.19345364,0.19605133
3.578753e-05,0.40907612,0.18763761,0.20274389,0.20050658
6.0490485e-05,0.40803048,0.18958035,0.20752785,0.19480085
0.00011731536,0.41272914,0.19225623,0.2038343,0.19106297
6.0053422e-05,0.40739208,0.19307975,0.20643438,0.19303374
3.599488e-05,0.4055972,0.1958746,0.20320109,0.19529113
0.00018885203,0.41353202,0.19885498,0.20453687,0.18288727
0.00017951365,0.41091335,0.19215567,0.208068,0.1886835
0.060752854,0.34787288,0.1886342,0.21161023,0.19112982
0.06934011,0.34752077,0.18689165,0.21268132,0.18356614
0.06659395,0.34656852,0.19312924,0.21364744,0.18006085
0.0001689981,0.41287196,0.19771498,0.20197836,0.18726568
0.07140059,0.34592822,0.19289438,0.21456094,0.17521586
0.06745695,0.34633586,0.19690362,0.21670273,0.17260084
0.06705745,0.34141287,0.19670622,0.21677345,0.17805
0.07055272,0.34482926,0.19023436,0.21232516,0.18205851
0.08093713,0.34233317,0.18842056,0.21504003,0.1732691
0.08026268,0.3418343,0.18864729,0.21665932,0.17259638
0.07322281,0.3424652,0.19794883,0.21339782,0.1729654
0.07476256,0.34298456,0.19362664,0.20982791,0.17879835
0.07821875,0.33928105,0.19583002,0.21578546,0.17088474
0.08631094,0.33419544,0.1983249,0.21523252,0.16593625
0.0769449,0.33984765,0.19851203,0.210926,0.1737694
0.09180335,0.32892343,0.19522376,0.21987802,0.16417149
0.0847402,0.332133,0.20110083,0.21817409,0.16385193
0.08368752,0.33145607,0.2050565,0.22003485,0.15976505
0.069890276,0.3407785,0.20539586,0.21420172,0.16973361
0.08129364,0.33539608,0.19626652,0.22027425,0.16676952
0.09738661,0.3270359,0.19067217,0.21681158,0.16809377
0.105376884,0.30998376,0.20396961,0.2204178,0.16025195
0.09509398,0.32649294,0.19713552,0.21234432,0.16893318
0.1102294,0.3087583,0.1946665,0.22466739,0.16167842
0.10865229,0.29871202,0.21191868,0.22487806,0.15583889
0.105554104,0.31007537,0.20128676,0.22239543,0.1606883
0.12151353,0.28537866,0.2094574,0.22614634,0.157504
0.10807147,0.30347085,0.2037033,0.22685364,0.15790078
0.10664865,0.3054332,0.20896693,0.21601816,0.162933
0.10417592,0.3089064,0.20332888,0.22084972,0.16273905
0.13991424,0.25956511,0.20998858,0.23167987,0.15885216
0.13027836,0.26911226,0.2122455,0.23072846,0.1576354
0.1485249,0.24671774,0.20851594,0.24040592,0.15583552
0.1456768,0.24894702,0.20893882,0.23908764,0.15734969
0.13816959,0.26423618,0.20607735,0.227059,0.16445787
0.1347405,0.26241323,0.21260707,0.23527332,0.15496582
0.11566567,0.2887504,0.21227598,0.22541986,0.15788805
0.15695772,0.23196068,0.21526138,0.23616149,0.15965877
0.19620311,0.1755684,0.21937962,0.24846604,0.1603828
0.15296766,0.23030639,0.22481208,0.23582599,0.15608788
0.1669892,0.21864347,0.21514627,0.23947024,0.15975082
0.20120603,0.16765252,0.21574959,0.25346732,0.16192453
0.15587348,0.22790466,0.22433598,0.23378046,0.15810543
0.1601741,0.22631589,0.2192127,0.23172408,0.16257322
0.18712518,0.17781138,0.22578262,0.2466793,0.16260153
0.22321527,0.14036036,0.22899437,0.2496503,0.15777971
0.21368015,0.15209806,0.22273862,0.25282922,0.15865396
0.20226884,0.15689348,0.2285866,0.25253066,0.15972047
0.2476422,0.11219675,0.2248259,0.25042653,0.16490862
0.2635711,0.08884893,0.2266115,0.25350237,0.16746604
0.22091019,0.13410093,0.23343968,0.24865504,0.16289411
0.24342406,0.107450746,0.22891402,0.25311673,0.16709441
0.2606492,0.08846007,0.23157287,0.25792664,0.16139118
0.23123482,0.11549451,0.23890232,0.24461195,0.16975647
0.22331941,0.12133646,0.24542159,0.24505055,0.16487199
