battery_id,window_start,cycle_index,degradation_stage,fusion_gate,router_weight_l1,statistical_route_entropy,curve_route_entropy,fused_route_entropy,expert_1_fused_weight,expert_2_fused_weight,expert_3_fused_weight,expert_4_fused_weight,expert_5_fused_weight
#5,0,2,early,0.7563064098358154,1.077620267868042,1.2628886699676514,1.3852391242980957,1.5147210359573364,0.30439016222953796,0.2209177315235138,0.0582677461206913,0.20749250054359436,0.2089318335056305
#5,1,3,early,0.7512516975402832,1.1570422649383545,1.2490136623382568,1.3850136995315552,1.5531996488571167,0.2857719361782074,0.2175426334142685,0.08883542567491531,0.20904657244682312,0.19880342483520508
#5,2,4,early,0.7462650537490845,1.2111563682556152,1.2068214416503906,1.3843457698822021,1.5732624530792236,0.27131158113479614,0.21469099819660187,0.1106114387512207,0.20991408824920654,0.19347187876701355
#5,3,5,early,0.7538994550704956,1.2126414775848389,1.1892082691192627,1.3843741416931152,1.5489801168441772,0.2936663031578064,0.2183147668838501,0.087681345641613,0.21005892753601074,0.19027860462665558
#5,4,6,early,0.7512223124504089,1.2263305187225342,1.1886813640594482,1.3840489387512207,1.566766381263733,0.27839353680610657,0.21716544032096863,0.10442857444286346,0.21064789593219757,0.18936453759670258
#5,5,7,early,0.7548739910125732,1.2647439241409302,1.1201967000961304,1.3833361864089966,1.5376217365264893,0.30588236451148987,0.21875400841236115,0.0808287113904953,0.21060281991958618,0.1839321106672287
#5,6,8,early,0.7482714056968689,1.2606275081634521,1.1437804698944092,1.3836920261383057,1.5827503204345703,0.26310431957244873,0.21531328558921814,0.12479548901319504,0.21025322377681732,0.18653368949890137
#5,7,9,middle,0.745703399181366,1.2764685153961182,1.123793125152588,1.3829796314239502,1.5873346328735352,0.25727397203445435,0.2142775058746338,0.13208618760108948,0.21195945143699646,0.18440288305282593
#5,8,10,middle,0.7505788803100586,1.2764323949813843,1.125953197479248,1.3829855918884277,1.5828845500946045,0.2623946964740753,0.21722489595413208,0.1256786584854126,0.21146544814109802,0.1832362860441208
#5,9,11,middle,0.7519304752349854,1.271539568901062,1.1337562799453735,1.3828580379486084,1.582014799118042,0.2622149884700775,0.2183586210012436,0.12390773743391037,0.21186545491218567,0.18365319073200226
#5,10,12,middle,0.7505555152893066,1.305567741394043,1.089149832725525,1.381605863571167,1.5870168209075928,0.2564579248428345,0.2180834412574768,0.1330268681049347,0.21345245838165283,0.17897935211658478
#5,11,13,middle,0.7465370297431946,1.3262054920196533,1.0073587894439697,1.3812702894210815,1.6007002592086792,0.23136281967163086,0.2153543382883072,0.16044604778289795,0.2139134556055069,0.1789233386516571
#5,12,14,middle,0.7511101365089417,1.297926664352417,1.0775597095489502,1.3813923597335815,1.593319058418274,0.24412718415260315,0.21880576014518738,0.14284567534923553,0.21483004093170166,0.17939135432243347
#5,13,15,late,0.7475295066833496,1.3279353380203247,0.9943853616714478,1.3810548782348633,1.6011383533477783,0.22953057289123535,0.21584123373031616,0.16251687705516815,0.21469414234161377,0.17741714417934418
#5,14,16,late,0.75130695104599,1.3130037784576416,1.0675472021102905,1.3804576396942139,1.591246247291565,0.24793459475040436,0.21927370131015778,0.14071103930473328,0.21614407002925873,0.17593660950660706
#5,15,17,late,0.7426015138626099,1.3380968570709229,0.9648827910423279,1.3807677030563354,1.6040451526641846,0.22170579433441162,0.21270188689231873,0.17221204936504364,0.21538031101226807,0.17799992859363556
#5,16,18,late,0.7454208731651306,1.3155096769332886,1.0255028009414673,1.380664587020874,1.6001598834991455,0.23120072484016418,0.21504373848438263,0.1592201143503189,0.21660834550857544,0.17792709171772003
#5,17,19,late,0.7466954588890076,1.332693099975586,1.0237207412719727,1.3794443607330322,1.5970888137817383,0.2375953495502472,0.2167385220527649,0.1540008783340454,0.21793398261070251,0.17373128235340118
#5,18,20,late,0.7479392290115356,1.308334231376648,1.0362517833709717,1.3808250427246094,1.599401831626892,0.23152612149715424,0.21706481277942657,0.1564466506242752,0.21633510291576385,0.17862731218338013
#8,0,2,early,0.7303093075752258,0.9967630505561829,1.395019769668579,1.3830440044403076,1.576324462890625,0.245630145072937,0.20946115255355835,0.10681077837944031,0.21452897787094116,0.22356896102428436
#8,1,3,early,0.7284867167472839,1.0596721172332764,1.3189361095428467,1.3825551271438599,1.5939912796020508,0.22522681951522827,0.20780546963214874,0.13384681940078735,0.21376927196979523,0.21935158967971802
#8,2,4,early,0.7304153442382812,1.1154201030731201,1.256068229675293,1.3826848268508911,1.5987695455551147,0.22171148657798767,0.20747701823711395,0.14447645843029022,0.21411089599132538,0.21222417056560516
#8,3,5,early,0.7224181294441223,1.1516515016555786,1.209010124206543,1.3821477890014648,1.6026504039764404,0.21939924359321594,0.20127931237220764,0.15624289214611053,0.2143932580947876,0.20868529379367828
#8,4,6,early,0.7312483787536621,1.1265966892242432,1.2510278224945068,1.3823813199996948,1.5983543395996094,0.22287964820861816,0.20806348323822021,0.14359457790851593,0.21560411155223846,0.20985819399356842
#8,5,7,early,0.7311334609985352,1.1114420890808105,1.2811930179595947,1.3828678131103516,1.5940170288085938,0.2316984087228775,0.20730789005756378,0.13472549617290497,0.21447542309761047,0.21179281175136566
#8,6,8,early,0.7197246551513672,1.293489933013916,1.087599515914917,1.3809561729431152,1.607911229133606,0.19910040497779846,0.19883684813976288,0.1812666654586792,0.2145935744047165,0.20620250701904297
#8,7,9,middle,0.7256947755813599,1.1934971809387207,1.1672111749649048,1.3816819190979004,1.604945182800293,0.21005281805992126,0.20353513956069946,0.16369125247001648,0.2150440812110901,0.20767676830291748
#8,8,10,middle,0.7194675803184509,1.2426365613937378,1.131906270980835,1.3810789585113525,1.6069680452346802,0.20313741266727448,0.1991942971944809,0.1742999255657196,0.21484559774398804,0.20852278172969818
#8,9,11,middle,0.7167303562164307,1.3684277534484863,1.0139390230178833,1.380455732345581,1.6086533069610596,0.19397671520709991,0.19612795114517212,0.19381701946258545,0.21510080993175507,0.20097747445106506
#8,10,12,middle,0.7294641137123108,1.1238434314727783,1.2383854389190674,1.3818786144256592,1.6006839275360107,0.21568453311920166,0.20704622566699982,0.1492931842803955,0.21619516611099243,0.21178090572357178
#8,11,13,middle,0.7198701500892639,1.4317899942398071,0.9556214809417725,1.3802783489227295,1.6084425449371338,0.18671239912509918,0.19815799593925476,0.20054355263710022,0.21479816734790802,0.199787899851799
#8,12,14,middle,0.7290788292884827,1.2119641304016113,1.154524326324463,1.3814634084701538,1.605039358139038,0.20803022384643555,0.2059149295091629,0.16417336463928223,0.21647711098194122,0.20540441572666168
#8,13,15,late,0.716372013092041,1.3577775955200195,1.0294526815414429,1.3805162906646729,1.608544111251831,0.1923234462738037,0.19589214026927948,0.1925518661737442,0.21433958411216736,0.20489299297332764
#8,14,16,late,0.7162701487541199,1.3559417724609375,1.0348808765411377,1.380337119102478,1.6083958148956299,0.19043278694152832,0.1961054652929306,0.19236057996749878,0.21456363797187805,0.20653751492500305
#8,15,17,late,0.729527473449707,1.230234980583191,1.1432859897613525,1.3814001083374023,1.605521559715271,0.20548124611377716,0.20579880475997925,0.1663723886013031,0.2167145311832428,0.2056330442428589
#8,16,18,late,0.7228598594665527,1.248842716217041,1.1210073232650757,1.3808257579803467,1.6067503690719604,0.20403693616390228,0.2011088728904724,0.17305222153663635,0.21666225790977478,0.20513971149921417
#8,17,19,late,0.7252335548400879,1.2304141521453857,1.150909185409546,1.3811354637145996,1.6060051918029785,0.2013089656829834,0.20355533063411713,0.16903825104236603,0.21569381654262543,0.2104036659002304
#8,18,20,late,0.7177094221115112,1.4015464782714844,0.9884668588638306,1.3800196647644043,1.6083834171295166,0.18724325299263,0.19691117107868195,0.19782166182994843,0.21552152931690216,0.20250242948532104
#11,0,2,early,0.7519968748092651,0.7056832909584045,1.4300860166549683,1.383947491645813,1.4794366359710693,0.28174352645874023,0.23781925439834595,0.03229272738099098,0.21709175407886505,0.23105274140834808
#11,1,3,early,0.7454186081886292,0.9419900178909302,1.3943886756896973,1.3843505382537842,1.5241973400115967,0.2840779721736908,0.2162022888660431,0.06059502810239792,0.21523450314998627,0.22389020025730133
