Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.094, 0.104, 0.116, 0.138, 0.15297108843537394, 0.165, 0.18583163265306085, 0.20069047619047625, 0.215, 0.228, 0.24293265306122447, 0.2599156820622985, 0.28, 0.297, 0.324, 0.36, 0.386, 0.424, 0.467, 0.508, 0.5753756957328384, 0.706, 0.809, 0.9174172335600908, 1.025, 1.098, 1.163, 1.2410185528756958, 1.292, 1.337, 1.391, 1.437, 1.471, 1.51, 1.557, 1.584, 1.622, 1.657, 1.6930204081632643, 1.723, 1.755, 1.786, 1.8138520408163268, 1.844, 1.8744897959183673, 1.8947959183673468, 1.928, 1.955, 1.9788836734693875, 2.01]",1.2,25,-2.4,2.321,2.325
3,"[0.096, 0.105, 0.12, 0.13620565149136576, 0.15374149659863937, 0.1715979040264754, 0.188, 0.202, 0.219, 0.233, 0.24926020408163277, 0.26389795918367365, 0.283512925170068, 0.302, 0.3371660231660232, 0.36253061224489785, 0.392, 0.4334013605442176, 0.472, 0.5224876476906553, 0.607, 0.72, 0.821, 0.924, 1.033, 1.1155340136054421, 1.1773641245972073, 1.236, 1.2878017492711369, 1.338, 1.399, 1.4383811524609842, 1.4757405247813413, 1.516, 1.547, 1.5933474903474902, 1.627607411385607, 1.665, 1.697, 1.7293647959183673, 1.757, 1.788, 1.8143862433862432, 1.846, 1.878, 1.905, 1.934, 1.959, 1.9836750392464673, 2.01]",1.2,25,-2.4,2.325,2.326
4,"[0.1, 0.109, 0.121, 0.137, 0.155, 0.174, 0.18983163265306086, 0.20252597402597405, 0.22, 0.23655322669608378, 0.25071938775510205, 0.266, 0.2854399092970521, 0.306, 0.32687593984962404, 0.362, 0.3955086342229197, 0.435, 0.47377097505668914, 0.523, 0.618, 0.727, 0.834189044038668, 0.935, 1.0390437317784254, 1.1352032653061224, 1.1826097959183672, 1.246, 1.301, 1.343, 1.398, 1.441, 1.48, 1.5180204081632651, 1.558, 1.594721804511278, 1.628, 1.665, 1.7, 1.724, 1.76, 1.793, 1.818309523809524, 1.846, 1.8815306122448974, 1.906, 1.9353952738990334, 1.964, 1.986353469387755, 2.012]",1.2,25,-2.4,2.323,2.324
5,"[0.099, 0.10844770408163273, 0.1216581632653061, 0.139, 0.159, 0.176, 0.188, 0.204, 0.223, 0.234, 0.248, 0.268, 0.285, 0.308, 0.328, 0.371, 0.3975086342229197, 0.434, 0.476, 0.524, 0.612, 0.733, 0.8323591836734692, 0.94, 1.036, 1.11267055393586, 1.19, 1.243, 1.3072976190476187, 1.347, 1.399, 1.448, 1.477, 1.515, 1.563, 1.597, 1.63, 1.6689262166405026, 1.703, 1.733, 1.7579350161117078, 1.788, 1.8188520408163267, 1.847, 1.881, 1.9, 1.937, 1.956, 1.9850765306122449, 2.015]",1.2,25,-2.4,2.323,2.324
6,"[0.097, 0.109, 0.12250291545189498, 0.146, 0.161, 0.17639368005266612, 0.192, 0.206, 0.222, 0.237, 0.25448979591836723, 0.268, 0.28741496598639427, 0.306, 0.337, 0.364, 0.394, 0.438, 0.47626303854875285, 0.525, 0.612, 0.735, 0.837, 0.948, 1.042, 1.134, 1.182, 1.2530040816326529, 1.304, 1.35, 1.395, 1.4425287569573284, 1.481, 1.517, 1.554, 1.599, 1.631, 1.667, 1.7016292517006801, 1.731, 1.76, 1.792, 1.819, 1.848, 1.877671836734694, 1.9006734693877552, 1.936408163265306, 1.9670913508260452, 1.985, 2.014]",1.2,25,-2.4,2.322,2.323
7,"[0.098, 0.10952653061224497, 0.12308843537414962, 0.146, 0.16098072562358262, 0.174, 0.192, 0.206, 0.225, 0.235, 0.249, 0.269, 0.28881997084548106, 0.309, 0.3396373626373626, 0.373, 0.397, 0.432, 0.468, 0.51, 0.62, 0.741, 0.853, 0.9398818474758325, 1.045, 1.113, 1.192, 1.245, 1.2957414965986394, 1.3592448979591827, 1.407, 1.4485858843537414, 1.4847414965986396, 1.527, 1.566, 1.5982946428571427, 1.63, 1.67, 1.7040156985871262, 1.7374460641399414, 1.7644212244897957, 1.797, 1.822, 1.848, 1.88, 1.907, 1.938, 1.967, 1.9876797488226055, 2.017]",1.2,25,-2.4,2.322,2.321
8,"[0.098, 0.11, 0.123, 0.146, 0.1608843537414958, 0.17432312925170057, 0.19283163265306086, 0.20638095238095203, 0.2232792696025778, 0.238, 0.254, 0.2678855685131194, 0.2886639455782313, 0.307, 0.3346543778801843, 0.367, 0.398, 0.434, 0.48, 0.538, 0.613, 0.742, 0.856, 0.9443129251700679, 1.041, 1.115, 1.1799777911164464, 1.253, 1.302, 1.3620159716060338, 1.409, 1.448, 1.4859723032069971, 1.518, 1.567, 1.598, 1.628, 1.67, 1.705, 1.736, 1.765, 1.7964277551020407, 1.8218520408163268, 1.853902040816326, 1.887, 1.9029282956425815, 1.937, 1.968, 1.986353469387755, 2.018]",1.2,25,-2.4,2.321,2.322
9,"[0.099, 0.11, 0.125, 0.148, 0.161, 0.17451265306122446, 0.191, 0.206, 0.221, 0.235, 0.254, 0.27, 0.28881997084548106, 0.31, 0.338, 0.36270408163265283, 0.397, 0.434, 0.4685782312925168, 0.5156840816326529, 0.633, 0.7663015873015873, 0.8492762951334379, 0.948, 1.04, 1.12, 1.189, 1.2508061224489795, 1.297, 1.368, 1.412, 1.4481717687074829, 1.4866547159404302, 1.523, 1.567, 1.6, 1.6298343616516373, 1.6697755102040817, 1.702, 1.738, 1.766, 1.795, 1.828, 1.849, 1.886, 1.905, 1.939, 1.9684263038548755, 1.987, 2.018]",1.2,25,-2.4,2.324,2.272
10,"[0.099, 0.111, 0.12694023323615153, 0.141, 0.1617952600394996, 0.17551265306122446, 0.19307535321821012, 0.207, 0.22186970172684436, 0.236, 0.252, 0.271, 0.288, 0.305, 0.332, 0.366, 0.399, 0.43792055393585994, 0.482, 0.529, 0.6312106122448978, 0.759, 0.855, 0.938, 1.05, 1.123, 1.1834011815252417, 1.248, 1.3, 1.37, 1.401, 1.45, 1.485, 1.5256882086167798, 1.569, 1.599, 1.634, 1.671547309833024, 1.702, 1.731, 1.765, 1.793, 1.822, 1.849902040816326, 1.8807156023699803, 1.908860365198711, 1.938, 1.96236916909621, 1.986, 2.018]",1.2,25,-2.4,2.322,2.322
11,"[0.102, 0.111, 0.125, 0.14784897959183657, 0.163, 0.175, 0.194, 0.208, 0.221, 0.236, 0.2554110787172013, 0.2698718367346937, 0.289, 0.311, 0.339, 0.36685795918367337, 0.3976007653061223, 0.443, 0.481, 0.532, 0.6281029684601113, 0.7497371428571429, 0.858, 0.955, 1.042, 1.1197117346938774, 1.194, 1.251, 1.302, 1.364, 1.402, 1.449, 1.487, 1.521, 1.568, 1.6004897959183673, 1.634, 1.671, 1.705, 1.7337215273206057, 1.7637267939433836, 1.796, 1.822, 1.8554747583243822, 1.882, 1.902, 1.9298344671201817, 1.964, 1.987, 2.015]",1.2,25,-2.4,2.322,2.32
