Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.094, 0.103, 0.115, 0.126, 0.149, 0.167, 0.1835690276110445, 0.201, 0.21657406188281766, 0.235, 0.2471802721088436, 0.26, 0.278, 0.296, 0.3221654135338345, 0.3473342526199668, 0.3765839874411302, 0.408, 0.434, 0.471, 0.5432206929283342, 0.6217714285714285, 0.757, 0.8686802721088436, 0.954, 1.07, 1.144, 1.2126824489795918, 1.286, 1.3342091836734693, 1.396, 1.436, 1.477, 1.514, 1.56, 1.5968742857142857, 1.6412057476051645, 1.659, 1.7038554421768708, 1.735, 1.766, 1.803376839107736, 1.835, 1.862, 1.895, 1.926, 1.955236339697169, 1.978, 2.002, 2.037]",1.2,25,-2.4,2.392,2.364
3,"[0.095, 0.10447719087635056, 0.11593795918367354, 0.134, 0.151, 0.169, 0.186, 0.203, 0.21948097076668507, 0.235, 0.24943905129619418, 0.2636587755102041, 0.277, 0.298, 0.3251654135338345, 0.349, 0.3780657596371879, 0.412, 0.448, 0.493, 0.5405272108843538, 0.6338796992481203, 0.755548752834467, 0.878, 0.962, 1.075, 1.158, 1.227, 1.295, 1.34, 1.3965619533527698, 1.446, 1.484, 1.53, 1.567, 1.602, 1.6438401360544215, 1.680332244897959, 1.71, 1.7437502040816328, 1.7725368916797486, 1.804, 1.841, 1.87, 1.9021151020408162, 1.926, 1.962, 1.98356462585034, 2.0059058084772365, 2.042]",1.2,25,-2.4,2.395,2.364
4,"[0.098, 0.106, 0.11835471331389692, 0.1346143931256714, 0.153, 0.17092222835079973, 0.189, 0.205, 0.221, 0.23731686358754026, 0.2501352040816327, 0.26348439375750304, 0.278, 0.299, 0.327, 0.351, 0.38303945578231274, 0.41560090702947833, 0.444, 0.493, 0.55, 0.637, 0.7526615646258503, 0.87175583090379, 0.9766519871106336, 1.0885510204081632, 1.166, 1.222266380236305, 1.297, 1.345, 1.4061049562682217, 1.447079931972789, 1.475, 1.519, 1.569, 1.604, 1.646, 1.669, 1.713, 1.747, 1.782, 1.806, 1.8387953667953667, 1.8701061224489797, 1.902, 1.926, 1.96, 1.9815310204081633, 2.006951020408163, 2.043]",1.2,25,-2.4,2.395,2.363
5,"[0.097, 0.10661117078410313, 0.11915889212827992, 0.136, 0.154, 0.173, 0.189, 0.20663095238095266, 0.22052340936374557, 0.238, 0.2511352040816327, 0.26448439375750304, 0.278, 0.30007993197278915, 0.3281654135338345, 0.3545153061224489, 0.38509863945578193, 0.417, 0.447, 0.49, 0.5553795918367347, 0.656, 0.764, 0.884453514739229, 0.974, 1.0861020408163262, 1.162, 1.2236824489795919, 1.301, 1.348, 1.397, 1.441, 1.479, 1.529, 1.567451166180758, 1.603, 1.646, 1.67, 1.712, 1.7471555432984007, 1.775, 1.809, 1.8383690476190473, 1.871, 1.903, 1.928, 1.958, 1.9831292517006802, 2.0059058084772365, 2.044]",1.2,25,-2.4,2.394,2.361
6,"[0.098, 0.106, 0.12026020408163261, 0.13597278911564611, 0.156, 0.17453276047261002, 0.191, 0.20582285714285728, 0.22, 0.23750170068027215, 0.251, 0.264, 0.28116763848396503, 0.3031598639455783, 0.329, 0.3553342526199668, 0.38509863945578193, 0.41860090702947833, 0.458, 0.496, 0.564, 0.653, 0.792, 0.907, 0.9951209912536442, 1.091, 1.1637653061224489, 1.237, 1.2839744897959184, 1.347, 1.401, 1.4515399659863943, 1.4789351311953354, 1.527, 1.569, 1.6068742857142857, 1.652, 1.68, 1.714, 1.746, 1.7802791836734693, 1.811168163265306, 1.8461771428571427, 1.873, 1.9031151020408161, 1.929, 1.958, 1.981, 2.006, 2.044]",1.2,25,-2.4,2.392,2.359
7,"[0.098, 0.107, 0.12, 0.136, 0.1544829931972787, 0.173, 0.1892938775510206, 0.206, 0.22093662728249194, 0.23822551020408167, 0.25218027210884364, 0.26674489795918405, 0.285, 0.30309135082604477, 0.32924175824175805, 0.3553342526199668, 0.385, 0.414, 0.45663372717508033, 0.484, 0.563, 0.663, 0.794, 0.8962915451895044, 0.986, 1.0941247593376973, 1.158426303854875, 1.243843537414966, 1.299, 1.349, 1.3996685052399338, 1.444, 1.486, 1.522, 1.566451166180758, 1.6047582417582416, 1.65, 1.6798122448979589, 1.714, 1.748, 1.783, 1.8061681632653062, 1.843, 1.8712040816326532, 1.903, 1.928, 1.96, 1.98356462585034, 2.004, 2.042]",1.2,25,-2.4,2.393,2.36
8,"[0.098, 0.10704373177842567, 0.121, 0.13598639455782305, 0.157, 0.176, 0.19, 0.20763095238095267, 0.2225795918367349, 0.239, 0.253, 0.267, 0.2821173469387755, 0.303, 0.33114285714285707, 0.355, 0.389, 0.415, 0.453, 0.493, 0.5601936693044566, 0.672, 0.781, 0.896, 0.986, 1.092, 1.1642131519274375, 1.228, 1.305, 1.347, 1.4, 1.454, 1.49, 1.524, 1.568, 1.6047582417582416, 1.645, 1.6798122448979589, 1.714855442176871, 1.747, 1.7822791836734693, 1.803, 1.844, 1.871, 1.904, 1.929, 1.963, 1.9827175951461666, 2.0089058084772367, 2.044]",1.2,25,-2.4,2.392,2.36
9,"[0.098, 0.10832838589981451, 0.122, 0.139, 0.156, 0.17600437317784254, 0.1902938775510206, 0.207, 0.221, 0.24, 0.252, 0.2653437990580849, 0.284, 0.304, 0.3321654135338345, 0.3576870748299319, 0.39, 0.41560544217686973, 0.45638841342988795, 0.5, 0.5622564809707667, 0.6665934065934067, 0.795, 0.9112915451895044, 0.9838212906784335, 1.086, 1.161, 1.226691326530612, 1.3031203007518795, 1.3490678433535577, 1.41, 1.439350248207391, 1.487, 1.526, 1.568, 1.606, 1.652, 1.682812244897959, 1.712, 1.7437502040816328, 1.779, 1.807, 1.844, 1.872, 1.903, 1.9332068027210882, 1.963, 1.984, 2.006905808477237, 2.043]",1.2,25,-2.4,2.39,2.359
10,"[0.099, 0.108, 0.121, 0.14141690962099127, 0.15749433106575958, 0.176, 0.192, 0.206, 0.22162083780880779, 0.239, 0.252, 0.265, 0.279, 0.303, 0.33224175824175806, 0.3585153061224489, 0.389, 0.415, 0.452, 0.503, 0.5693389212827988, 0.669119047619048, 0.7896615646258504, 0.9, 0.987, 1.096, 1.162, 1.226, 1.296, 1.349, 1.4, 1.4520799319727888, 1.4779351311953353, 1.529, 1.567, 1.615, 1.652, 1.6853322448979589, 1.714, 1.748, 1.7812791836734694, 1.802, 1.841, 1.873, 1.904, 1.935, 1.961, 1.984, 2.01, 2.046]",1.2,25,-2.4,2.39,2.359
11,"[0.098, 0.108, 0.122, 0.14, 0.15670638578011847, 0.17540489795918363, 0.189, 0.209, 0.22193662728249194, 0.24, 0.25218027210884364, 0.267, 0.285, 0.304, 0.332, 0.3602876127195064, 0.38934167215273197, 0.417, 0.459, 0.502, 0.5693795918367346, 0.662, 0.7856615646258504, 0.914, 0.998, 1.093, 1.165, 1.226, 1.301, 1.35, 1.401, 1.444, 1.481, 1.5334563265306123, 1.572, 1.607, 1.648, 1.686, 1.7145548814120242, 1.748, 1.782, 1.815, 1.843, 1.876, 1.9071151020408161, 1.9325750728862974, 1.967, 1.986, 2.0119058084772368, 2.047]",1.2,25,-2.4,2.387,2.356
