Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.088, 0.097, 0.108, 0.126, 0.144, 0.165, 0.183, 0.198, 0.21374271137026243, 0.231, 0.24327040816326542, 0.258, 0.277, 0.29568602825745666, 0.3206057142857142, 0.346, 0.373, 0.40390136054421744, 0.439, 0.475, 0.545, 0.6482755102040816, 0.7533175510204082, 0.873, 0.956, 1.067, 1.142, 1.196, 1.2685873015873013, 1.32, 1.376, 1.421, 1.45, 1.502, 1.539, 1.586, 1.6201913954771097, 1.654, 1.691, 1.717, 1.7492791836734694, 1.785, 1.82, 1.8433533163265308, 1.875, 1.9091107871720117, 1.9325330612244895, 1.9651292517006802, 1.987, 2.019]",1.2,25,-2.4,2.364,2.331
3,"[0.09, 0.09593658892128276, 0.109, 0.12646693877551027, 0.145, 0.167, 0.182, 0.19760504201680681, 0.213, 0.229, 0.242, 0.257, 0.27531292517006806, 0.3, 0.32, 0.345, 0.374, 0.399, 0.442, 0.491, 0.554, 0.64, 0.759, 0.874, 0.972, 1.068, 1.137, 1.198, 1.269595238095238, 1.3196122448979588, 1.3790734693877553, 1.422, 1.461, 1.4969013605442174, 1.548, 1.579, 1.621, 1.654, 1.686, 1.716, 1.753, 1.7824379481522339, 1.82, 1.843, 1.879, 1.905, 1.932, 1.96012925170068, 1.982951020408163, 2.017]",1.2,25,-2.4,2.361,2.33
4,"[0.089, 0.09970408163265305, 0.109, 0.1279727891156461, 0.1464829931972787, 0.164, 0.18, 0.1985559845559846, 0.214, 0.23115051020408164, 0.245, 0.263, 0.273, 0.30121315192743775, 0.322, 0.348, 0.378, 0.405, 0.439, 0.4914876476906553, 0.546, 0.672247619047619, 0.768, 0.887453514739229, 0.9773361976369495, 1.0771653061224489, 1.143426303854875, 1.201, 1.275, 1.323, 1.38, 1.43, 1.455, 1.5049506802721087, 1.544, 1.581518796992481, 1.6265600907029476, 1.659, 1.689, 1.723, 1.758, 1.781, 1.824, 1.8492040816326532, 1.884, 1.9082585034013602, 1.9339380196523053, 1.962, 1.9896197636949513, 2.02]",1.2,25,-2.4,2.361,2.33
5,"[0.089, 0.097, 0.111, 0.128, 0.14765532879818588, 0.165, 0.185, 0.199, 0.213, 0.233, 0.2448549946294308, 0.260669758812616, 0.277, 0.303, 0.323, 0.34701469387755096, 0.376, 0.402, 0.449, 0.4884876476906553, 0.5541410825199646, 0.672, 0.781, 0.89, 0.97849136577708, 1.078165306122449, 1.149, 1.206, 1.276, 1.326, 1.3850386680988187, 1.419, 1.4567405247813414, 1.509, 1.5488227712137486, 1.585, 1.627435502502888, 1.661, 1.6921012244897957, 1.724, 1.7597591836734692, 1.7902572886297377, 1.825, 1.8495861224489796, 1.886, 1.916, 1.939, 1.9641723356009069, 1.9898250728862967, 2.023]",1.2,25,-2.4,2.364,2.33
6,"[0.091, 0.098, 0.111, 0.13, 0.148, 0.166, 0.18252289023717605, 0.201, 0.216, 0.234, 0.248, 0.26, 0.2774315579890493, 0.304, 0.324, 0.348, 0.378, 0.411, 0.4519262166405023, 0.493, 0.554, 0.667, 0.7784178302900109, 0.8934332361516035, 0.984, 1.090165306122449, 1.153, 1.2066824489795918, 1.281, 1.326887425938117, 1.386, 1.436, 1.461, 1.509, 1.559, 1.591, 1.629, 1.662, 1.693, 1.7291555432984007, 1.762, 1.7916751700680271, 1.827, 1.8505861224489797, 1.888, 1.912, 1.9425330612244895, 1.965, 1.992636514065085, 2.023]",1.2,25,-2.4,2.364,2.331
7,"[0.09, 0.09988163265306116, 0.113, 0.1322714760322734, 0.149, 0.167, 0.186, 0.201, 0.217, 0.233, 0.249, 0.261, 0.277, 0.304, 0.326, 0.3513342526199668, 0.3796644657863145, 0.41, 0.438, 0.487, 0.552, 0.689, 0.7824178302900109, 0.8987558309037901, 0.986, 1.079, 1.152, 1.231, 1.282, 1.330139455782313, 1.389, 1.427, 1.4635673469387755, 1.512, 1.55, 1.597, 1.632, 1.6653322448979588, 1.6953412244897959, 1.73, 1.761, 1.795, 1.827, 1.8601061224489797, 1.885, 1.9170596546310832, 1.941, 1.971, 1.9909058084772366, 2.026]",1.2,25,-2.4,2.365,2.331
8,"[0.09, 0.101, 0.1134579591836734, 0.1329455782312922, 0.151, 0.1717786499215069, 0.188, 0.2026309523809527, 0.217, 0.2340006583278473, 0.24927040816326543, 0.26255102040816336, 0.281, 0.301, 0.32724175824175805, 0.351, 0.3815436734693877, 0.412, 0.455, 0.49901061224489796, 0.5485816326530614, 0.6931190476190479, 0.776, 0.892, 0.984, 1.082, 1.1524550468836183, 1.23, 1.2811038961038959, 1.331, 1.393, 1.4360799319727888, 1.465, 1.513, 1.5528797376093293, 1.593, 1.6332520408163265, 1.665, 1.696, 1.728, 1.762759183673469, 1.7915840816326531, 1.829, 1.862, 1.885, 1.9181107871720116, 1.942, 1.972038775510204, 1.991, 2.026]",1.2,25,-2.4,2.363,2.329
9,"[0.091, 0.09947230320699711, 0.113, 0.131, 0.15, 0.16859790402647543, 0.187, 0.202, 0.218, 0.233, 0.2491352040816327, 0.263, 0.27786109282422644, 0.305, 0.327, 0.352, 0.381, 0.414, 0.454, 0.497, 0.5582564809707667, 0.684, 0.7983175510204082, 0.8965442176870748, 0.987, 1.082, 1.158, 1.231, 1.285, 1.3311045918367346, 1.388, 1.424, 1.4728602825745685, 1.514, 1.559, 1.598, 1.6299232653061222, 1.664, 1.694855442176871, 1.726, 1.761, 1.7917892995035851, 1.824, 1.859, 1.889, 1.914, 1.942, 1.969, 1.9898250728862967, 2.024]",1.2,25,-2.4,2.363,2.33
10,"[0.091, 0.10173469387755106, 0.114, 0.133, 0.1504829931972787, 0.168, 0.185, 0.2027047619047621, 0.218, 0.236, 0.24954081632653086, 0.2671787755102042, 0.278, 0.3061598639455783, 0.3266883116883117, 0.353, 0.384, 0.417, 0.455, 0.49742115027829326, 0.5567210884353744, 0.677, 0.804, 0.906, 0.991, 1.0902644897959184, 1.1544550468836183, 1.2126824489795918, 1.280595238095238, 1.3316204081632652, 1.391, 1.439, 1.464, 1.513976326530612, 1.553, 1.5983942857142857, 1.6308401360544216, 1.665, 1.6978554421768708, 1.728, 1.764, 1.788675170068027, 1.828, 1.862, 1.887239795918367, 1.9172585034013603, 1.9443601765030336, 1.974, 1.994, 2.025]",1.2,25,-2.4,2.365,2.331
11,"[0.091, 0.102, 0.1138806907378337, 0.132, 0.154, 0.17040489795918365, 0.184, 0.20347004608294939, 0.218, 0.234, 0.249, 0.264, 0.2806319241982508, 0.3061598639455783, 0.327, 0.352, 0.38204931972789097, 0.414, 0.447, 0.5004876476906552, 0.56, 0.674, 0.7993175510204082, 0.9122915451895044, 0.994, 1.098, 1.1524550468836183, 1.23, 1.285, 1.3324191947049089, 1.391056514913658, 1.436, 1.467, 1.512, 1.56, 1.5977582417582417, 1.6318401360544215, 1.666, 1.6966106122448978, 1.727, 1.762, 1.7887892995035852, 1.828, 1.852, 1.882, 1.914, 1.941, 1.972, 1.9929058084772366, 2.024]",1.2,25,-2.4,2.363,2.328
12,"[0.091, 0.10070408163265306, 0.114, 0.133, 0.15, 0.168, 0.1874829931972791, 0.2028228571428573, 0.217, 0.236, 0.248, 0.26165433673469385, 0.2806319241982508, 0.304, 0.327, 0.351, 0.381, 0.414, 0.453, 0.4954876476906553, 0.567, 0.6743085714285714, 0.796, 0.8937558309037901, 0.989, 1.078, 1.152, 1.2134611141754, 1.2813861003861002, 1.327, 1.388, 1.435, 1.467, 1.5134563265306122, 1.55, 1.59, 1.6304800777453838, 1.6616389324960747, 1.692, 1.725, 1.760759183673469, 1.791, 1.825, 1.849, 1.884, 1.912, 1.9373601765030335, 1.967, 1.985, 2.02]",1.2,25,-2.4,2.359,2.327
