Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.089, 0.10264408163265314, 0.119, 0.137, 0.155, 0.163, 0.182, 0.196, 0.211, 0.2237732426303854, 0.237, 0.2519538131041889, 0.268, 0.281, 0.3053820598006644, 0.331, 0.3589453061224489, 0.39098894557823133, 0.44164852607709726, 0.498, 0.606, 0.6998265306122449, 0.787, 0.901, 1.022, 1.0977729591836733, 1.1645544217687074, 1.22, 1.278, 1.327, 1.383, 1.416, 1.469, 1.502, 1.544, 1.566, 1.6144455782312923, 1.6453083900226753, 1.681, 1.711, 1.7400600907029478, 1.773, 1.801, 1.83, 1.859594752186589, 1.887, 1.909, 1.941, 1.967, 1.993]",1.2,25,-2.4,2.299,2.308
3,"[0.09, 0.1026799140708914, 0.1230380333951763, 0.1388129251700681, 0.153, 0.168, 0.18441107871720114, 0.199, 0.212, 0.224, 0.242, 0.254, 0.268, 0.280578231292517, 0.3056751152073732, 0.339, 0.364, 0.404, 0.449, 0.513, 0.592614693877551, 0.7125816326530612, 0.805, 0.9181870748299316, 1.021, 1.100969387755102, 1.17, 1.221, 1.287, 1.338, 1.383, 1.4258312925170065, 1.47, 1.508, 1.5466020408163266, 1.571, 1.6096695821185618, 1.6467191836734694, 1.686, 1.7127526530612245, 1.7422278911564628, 1.7754058956916103, 1.804, 1.834, 1.861, 1.8881105442176862, 1.912, 1.942, 1.9675386297376092, 1.994]",1.2,25,-2.4,2.296,2.304
4,"[0.088, 0.10340897959183681, 0.119, 0.136, 0.151, 0.167, 0.18341387755102048, 0.19426190476190536, 0.21, 0.2243608163265307, 0.23700720288115243, 0.251, 0.266, 0.281, 0.306, 0.334, 0.361, 0.393, 0.429, 0.493, 0.611, 0.714, 0.804548752834467, 0.915, 1.028, 1.104, 1.177, 1.224, 1.287, 1.328, 1.3861493877551019, 1.429, 1.466, 1.5021852433281004, 1.541, 1.5672967032967031, 1.608, 1.642, 1.6831946624803764, 1.711, 1.743, 1.7740926216640505, 1.801, 1.836, 1.86, 1.886, 1.9090530612244894, 1.9339482507288628, 1.964, 1.986]",1.2,25,-2.4,2.292,2.302
5,"[0.09, 0.104, 0.121, 0.138, 0.151, 0.16725632653061223, 0.1840753532182101, 0.195, 0.210758017492711, 0.22463718820861664, 0.238, 0.251, 0.269, 0.28158539205155725, 0.301, 0.337, 0.362, 0.396, 0.4336431863067807, 0.492, 0.6103775510204079, 0.711, 0.8, 0.916, 1.0250612244897954, 1.107, 1.169493105350248, 1.2332288629737609, 1.284, 1.334880773361976, 1.381, 1.4217224489795917, 1.468, 1.5, 1.54, 1.568, 1.609, 1.6452267573696142, 1.684, 1.713134693877551, 1.742, 1.7720891514500539, 1.8000742857142857, 1.826, 1.8574873469387754, 1.885, 1.908, 1.939, 1.9646229860365196, 1.989]",1.2,25,-2.4,2.29,2.302
6,"[0.09, 0.10352653061224497, 0.121, 0.138, 0.152, 0.167, 0.1830753532182101, 0.1949257142857143, 0.21091084854994613, 0.225, 0.239, 0.253, 0.2686581632653061, 0.284, 0.3055482625482625, 0.334, 0.361, 0.394, 0.431, 0.5016232339089479, 0.607, 0.715, 0.804, 0.905, 1.03, 1.106, 1.174, 1.23, 1.281, 1.32, 1.3855450954575377, 1.424, 1.47, 1.5071783029001071, 1.543, 1.56987969924812, 1.6116356925749022, 1.6491700680272106, 1.6777422126745434, 1.7069150757077023, 1.744, 1.7720769944341375, 1.801, 1.829, 1.860676870748299, 1.888, 1.913, 1.9369641478212907, 1.969, 1.988]",1.2,25,-2.4,2.293,2.302
7,"[0.092, 0.10452653061224497, 0.12211054421768701, 0.138, 0.154, 0.169, 0.18609044526901666, 0.198, 0.212, 0.22736998025016456, 0.24, 0.252, 0.27, 0.285, 0.31, 0.335, 0.362, 0.396, 0.434, 0.49362323390894786, 0.595, 0.721, 0.8, 0.918562925170068, 1.02, 1.107, 1.169, 1.232, 1.281, 1.326, 1.3865450954575376, 1.43, 1.468, 1.5101355102040814, 1.5452959183673467, 1.5735639097744358, 1.613, 1.646, 1.683, 1.714, 1.742541224489796, 1.777, 1.802, 1.832, 1.8594873469387754, 1.887019274376417, 1.91, 1.941, 1.965910518053375, 1.992]",1.2,25,-2.4,2.291,2.3
8,"[0.091, 0.10408948194662472, 0.123, 0.139, 0.15494217687074785, 0.16733727175080557, 0.18568313641245948, 0.197, 0.2131711652402896, 0.227, 0.241, 0.252, 0.27, 0.2838555729984298, 0.307, 0.33470408163265286, 0.36473940345368905, 0.409, 0.444, 0.512, 0.5854591836734693, 0.7204962406015036, 0.809, 0.919, 1.0306091051805335, 1.0968130170987314, 1.179, 1.2294929356357926, 1.2915476190476187, 1.3246243042671613, 1.39, 1.427, 1.475, 1.507415885273028, 1.548, 1.5823626373626372, 1.612, 1.6501700680272107, 1.688, 1.712, 1.749, 1.778, 1.802, 1.83, 1.8613254564983885, 1.889, 1.9130604081632652, 1.943, 1.968, 1.995]",1.2,25,-2.4,2.29,2.297
9,"[0.088, 0.104, 0.12052040816326527, 0.13866718995290414, 0.15470638578011847, 0.17, 0.186, 0.196, 0.21187959183673472, 0.227, 0.239, 0.254, 0.270440295267043, 0.286, 0.309, 0.342, 0.36678367346938767, 0.4008256802721088, 0.436, 0.516, 0.619, 0.723, 0.8075757250268528, 0.922, 1.0261680988184747, 1.11, 1.18, 1.228, 1.287440476190476, 1.336, 1.385, 1.426, 1.461, 1.502, 1.5322925170068025, 1.579, 1.613, 1.6442176870748284, 1.683, 1.712, 1.74, 1.7715281632653062, 1.799, 1.822, 1.8564751020408161, 1.88200850340136, 1.9071895043731768, 1.9375018896447467, 1.964, 1.988]",1.2,25,-2.4,2.286,2.297
10,"[0.089, 0.10452653061224497, 0.123, 0.139, 0.1536473922902493, 0.17, 0.186, 0.19684523809523813, 0.21286970172684436, 0.225, 0.239, 0.2527535321821033, 0.27, 0.283, 0.3113314285714286, 0.337, 0.3628460111317254, 0.398, 0.447, 0.5118102040816321, 0.5773775510204079, 0.7216302521008403, 0.811, 0.924, 1.026, 1.105, 1.166, 1.224, 1.277262857142857, 1.315, 1.378, 1.42, 1.468, 1.5006155102040815, 1.543394557823129, 1.568, 1.613, 1.6361700680272107, 1.6821281632653058, 1.711, 1.741, 1.773, 1.798, 1.828, 1.856, 1.883, 1.909, 1.9343418367346938, 1.963910518053375, 1.984]",1.2,25,-2.4,2.284,2.295
11,"[0.092, 0.10508948194662472, 0.12211054421768701, 0.139, 0.154, 0.169, 0.1840753532182101, 0.196, 0.21186970172684436, 0.227, 0.239, 0.2527535321821033, 0.26960418904403866, 0.2838555729984298, 0.30850840336134455, 0.342, 0.365, 0.3978146258503399, 0.447, 0.5123002915451889, 0.6291548619447779, 0.727, 0.819, 0.92, 1.028, 1.108, 1.1725885450954574, 1.231, 1.284, 1.335155612244898, 1.3832577873254561, 1.424, 1.459, 1.506, 1.545, 1.571, 1.617, 1.638, 1.684, 1.7134307196562835, 1.745, 1.773, 1.799, 1.822, 1.8590141287284143, 1.886, 1.9071161695447407, 1.9349526239067056, 1.965, 1.99]",1.2,25,-2.4,2.286,2.296
