Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.099, 0.109, 0.1278806907378337, 0.146, 0.167, 0.182, 0.198, 0.211, 0.22870367346938805, 0.243, 0.25664030612244904, 0.275, 0.2898548752834468, 0.30683673469387746, 0.33362285714285717, 0.366, 0.39639957035445755, 0.436, 0.4584200680272107, 0.525013963480129, 0.573, 0.7176685714285714, 0.852, 0.925, 1.048, 1.1323010204081632, 1.199, 1.263, 1.3243861003861004, 1.361, 1.421, 1.46, 1.5028183673469389, 1.5395185528756958, 1.5799853061224491, 1.6143214285714287, 1.6505600907029476, 1.681, 1.725, 1.75, 1.787, 1.817, 1.847, 1.879, 1.906, 1.9330032916392361, 1.959, 1.991, 2.015, 2.041]",1.2,25,-2.4,2.357,2.347
3,"[0.101, 0.11036734693877563, 0.127, 0.149, 0.169, 0.182, 0.1998010204081633, 0.212, 0.23, 0.244, 0.259, 0.276, 0.291, 0.31273265306122444, 0.337, 0.363, 0.398, 0.436, 0.476, 0.526, 0.621, 0.722, 0.8137913832199546, 0.949, 1.0463364589078876, 1.1340459183673472, 1.202, 1.256, 1.323, 1.364, 1.4183624489795918, 1.4595272108843542, 1.4988490870032225, 1.541, 1.5836514913657773, 1.621, 1.651, 1.681, 1.7280351020408165, 1.757, 1.789, 1.816, 1.847, 1.874, 1.9062908163265306, 1.9310493197278913, 1.959, 1.9833362708719853, 2.011993197278912, 2.042]",1.2,25,-2.4,2.353,2.344
4,"[0.1, 0.11, 0.127, 0.14841690962099127, 0.167, 0.182, 0.202, 0.214, 0.23, 0.24391236494597848, 0.25764030612244904, 0.2762987755102041, 0.291, 0.309, 0.3372457142857143, 0.364, 0.396, 0.438, 0.463, 0.531013963480129, 0.598, 0.7471003861003861, 0.833, 0.9517341423055707, 1.053, 1.137, 1.212, 1.2664135654261703, 1.314, 1.365, 1.421, 1.469079931972789, 1.497, 1.5479506802721088, 1.581, 1.625, 1.66, 1.688, 1.72, 1.757, 1.786, 1.814, 1.8488171428571427, 1.878, 1.907, 1.9341794717887153, 1.96, 1.991, 2.016, 2.043]",1.2,25,-2.4,2.354,2.344
5,"[0.101, 0.11185204081632646, 0.13135471331389692, 0.15141690962099127, 0.167, 0.18440489795918363, 0.203, 0.213, 0.231, 0.245, 0.259, 0.278, 0.295, 0.30883673469387746, 0.333, 0.3683873469387755, 0.4, 0.4414013605442176, 0.4821172282866634, 0.522, 0.592, 0.741, 0.8359410430839002, 0.956, 1.057415885273028, 1.142, 1.220069727891156, 1.267, 1.329, 1.3736877551020408, 1.425, 1.4760383673469386, 1.5106447124304265, 1.546, 1.584, 1.620030612244898, 1.657, 1.691, 1.729606874328679, 1.758, 1.789, 1.820700680272109, 1.8476190476190475, 1.88, 1.905994434137291, 1.935, 1.96, 1.983419501133787, 2.017, 2.043]",1.2,25,-2.4,2.352,2.343
6,"[0.101, 0.11188163265306116, 0.1298806907378337, 0.15218454190186712, 0.16687591836734691, 0.18279008746355682, 0.2, 0.21526190476190535, 0.23, 0.244, 0.259, 0.277, 0.295, 0.314, 0.33770779220779223, 0.368, 0.399, 0.442, 0.467, 0.534, 0.628, 0.756, 0.877, 0.959, 1.059, 1.141, 1.209, 1.275, 1.33, 1.358, 1.424, 1.4710383673469387, 1.5068864795918366, 1.544, 1.587, 1.622, 1.654, 1.691, 1.729461224489796, 1.76, 1.7889984301412871, 1.821, 1.847, 1.874, 1.906, 1.935, 1.9576234364713625, 1.992, 2.016, 2.039]",1.2,25,-2.4,2.349,2.341
7,"[0.101, 0.11140897959183682, 0.131, 0.15, 0.169, 0.183, 0.2024138775510205, 0.213420634920635, 0.23117474489795942, 0.245, 0.25864030612244904, 0.277, 0.293, 0.315, 0.3385278450363196, 0.3670612244897957, 0.4015839874411302, 0.435, 0.47821003401360535, 0.522, 0.627, 0.749, 0.84, 0.9601802721088435, 1.052, 1.1543010204081632, 1.2173641245972073, 1.2741585557299842, 1.325, 1.369, 1.428, 1.4669271137026239, 1.499, 1.552, 1.586, 1.622, 1.6616802721088435, 1.701, 1.7277306122448979, 1.766, 1.7922094522019334, 1.827, 1.857, 1.8848261224489795, 1.916355102040816, 1.942, 1.974, 1.995, 2.023, 2.054]",1.2,25,-2.4,2.362,2.348
8,"[0.101, 0.112, 0.131, 0.1501441326530613, 0.167, 0.184, 0.20138448979591836, 0.2153197278911565, 0.23160125588697028, 0.246, 0.26, 0.274, 0.295296404275996, 0.315, 0.3383364055299539, 0.363, 0.3947701396348014, 0.4401093877551021, 0.4781575963718821, 0.5261790352504637, 0.635, 0.756, 0.846, 0.94, 1.0540204081632654, 1.1520459183673473, 1.2066662665066028, 1.26, 1.3239542857142859, 1.3746891679748825, 1.428, 1.471, 1.5066415816326533, 1.555, 1.589553226696084, 1.624, 1.664297052154195, 1.7, 1.73, 1.7681088435374155, 1.794948979591837, 1.822431972789116, 1.86, 1.8852605965463112, 1.914, 1.939, 1.975, 1.998, 2.024, 2.053]",1.2,25,-2.4,2.363,2.342
9,"[0.101, 0.11140816326530609, 0.13191836734693888, 0.1509727891156461, 0.167, 0.1825979040264754, 0.20086224489795942, 0.216, 0.231, 0.24388081632653075, 0.25855233706385783, 0.276, 0.293, 0.3146860282574567, 0.338, 0.369774693877551, 0.3995839874411302, 0.443, 0.48509693877551013, 0.535, 0.637, 0.769, 0.847, 0.9633605442176872, 1.0608098818474758, 1.1423010204081632, 1.2140170762182423, 1.264, 1.327, 1.368, 1.4230193340494093, 1.4720504833512351, 1.499, 1.5444563265306124, 1.582, 1.621, 1.657, 1.688, 1.726, 1.756, 1.786, 1.819, 1.8446190476190476, 1.867, 1.904, 1.932, 1.9622930612244895, 1.9803020408163265, 2.0139355531686354, 2.041]",1.2,25,-2.4,2.343,2.338
10,"[0.102, 0.112, 0.134, 0.1533105350248208, 0.16923386651958078, 0.18358963044677334, 0.201, 0.21139682539682544, 0.231, 0.2445649838882922, 0.258, 0.278, 0.293, 0.312, 0.342, 0.372, 0.4021641929499073, 0.443, 0.48232823129251706, 0.5372040816326531, 0.6375283446712018, 0.752812030075188, 0.8532762951334383, 0.954, 1.0603761720904579, 1.14367055393586, 1.203, 1.265, 1.3290952380952383, 1.3615649838882922, 1.417, 1.464, 1.5054606413994172, 1.549, 1.5828116169544744, 1.620248120300752, 1.6484376417233562, 1.688, 1.719, 1.75, 1.786, 1.817521541950114, 1.843, 1.88, 1.899, 1.932, 1.955, 1.983, 2.013, 2.038]",1.2,25,-2.4,2.341,2.338
11,"[0.102, 0.113, 0.13, 0.152, 0.1704943310657596, 0.184, 0.202, 0.217, 0.232, 0.2461589688506983, 0.259, 0.2768299319727894, 0.2938277551020408, 0.31589183673469384, 0.337, 0.37, 0.40139957035445756, 0.444, 0.46881191395477095, 0.546, 0.636, 0.76, 0.85, 0.972, 1.0668098818474758, 1.143, 1.219, 1.269, 1.331, 1.358, 1.423, 1.47, 1.509, 1.5502328196584756, 1.585, 1.618, 1.6623403666551366, 1.6908697017268444, 1.729, 1.76, 1.7897676609105178, 1.821, 1.8476190476190475, 1.8746656200941916, 1.907875102040816, 1.934, 1.957, 1.9932040816326533, 2.016, 2.042]",1.2,25,-2.4,2.344,2.336
