0,1,2,3,4
0.249447,0.2495282,0.16717178,0.16742441,0.16642858
0.2507914,0.25000635,0.16688699,0.16704592,0.16526929
0.25040987,0.24992706,0.16701193,0.16717397,0.16547717
0.2500243,0.2490949,0.16738595,0.16738878,0.16610608
0.25037485,0.24946588,0.16726252,0.16724458,0.16565214
0.24935506,0.24978288,0.16716148,0.16753724,0.16616328
0.25021836,0.24934267,0.16716135,0.16731623,0.16596141
0.25014263,0.24985088,0.16708456,0.16730967,0.16561222
0.25031072,0.24988168,0.16710034,0.16727209,0.16543515
0.2500505,0.25008714,0.16710441,0.16731703,0.16544095
0.25019243,0.24952522,0.16705768,0.16717923,0.16604538
0.25035775,0.24954788,0.16715413,0.16727261,0.16566758
0.25001955,0.24955565,0.16724494,0.16735978,0.16582009
0.24913286,0.24947225,0.1673903,0.16770072,0.16630398
0.2494913,0.24972457,0.16736011,0.16757387,0.16585013
0.24820767,0.25030842,0.1672983,0.16781682,0.16636874
0.2503188,0.24931729,0.16722813,0.16732386,0.16581197
0.24897476,0.24891332,0.16761045,0.16784772,0.16665378
0.24950626,0.24924733,0.16741905,0.16758363,0.1662438
0.24997541,0.24971393,0.16719952,0.16740212,0.16570906
0.24926317,0.24949445,0.16722819,0.1675976,0.16641662
0.24982692,0.25008765,0.16705257,0.1674527,0.16558011
0.24902532,0.24884193,0.16765976,0.16775587,0.1667171
0.24956481,0.24980828,0.16737074,0.16757305,0.16568306
0.24966924,0.2507705,0.1670594,0.16745108,0.16504979
0.24994399,0.24978136,0.16702355,0.16729614,0.165955
0.24894033,0.24891005,0.16761276,0.16780251,0.16673426
0.24904522,0.2495183,0.16748062,0.16773836,0.16621752
0.2493116,0.24944061,0.16749161,0.16767706,0.16607913
0.24964061,0.24995656,0.1672814,0.16754135,0.16558006
0.24897327,0.24997637,0.16713555,0.16767146,0.1662434
0.24860135,0.24900146,0.16769929,0.16796036,0.16673751
0.2496182,0.24999073,0.16726334,0.16750081,0.16562687
0.24948882,0.24996454,0.1673296,0.16756813,0.16564888
0.24880707,0.2493335,0.16761443,0.16791457,0.1663304
0.24874084,0.24907553,0.16743447,0.16784349,0.16690569
0.16804336,0.24872068,0.1678142,0.24859293,0.1668289
0.24882808,0.24879517,0.1677305,0.1678985,0.16674769
0.24899524,0.24948697,0.1675057,0.16776848,0.16624357
0.24998,0.25030562,0.1671531,0.16735801,0.16520324
0.16789338,0.24845648,0.16764455,0.24845293,0.16755264
0.16792136,0.248821,0.16780297,0.24868223,0.16677235
0.24941969,0.24948093,0.16750057,0.16763376,0.16596505
0.24861471,0.24997163,0.16752073,0.16790773,0.16598515
0.24916816,0.24936071,0.16762063,0.16771024,0.16614021
0.24905346,0.24977031,0.16730337,0.16766162,0.16621117
0.16785382,0.24885672,0.16778632,0.24871586,0.16678727
0.16792971,0.24886589,0.16783397,0.24860792,0.16676255
0.16784635,0.16777983,0.24850526,0.24860243,0.16726603
0.1679311,0.24904965,0.16782656,0.24854189,0.16665077
0.24886492,0.24905574,0.16749243,0.16778639,0.16680063
0.16768384,0.2488518,0.16774829,0.24884558,0.16687049
0.16786174,0.24881616,0.16786462,0.24866347,0.16679397
0.24888065,0.24962111,0.1675781,0.16786782,0.1660523
0.16764756,0.24873735,0.16794707,0.24886964,0.16679843
0.24852696,0.2484076,0.16774747,0.16787617,0.16744173
0.16799682,0.24895315,0.1677842,0.24866189,0.1666039
0.16770777,0.2490858,0.16786526,0.24879885,0.16654238
0.1679252,0.24934992,0.16775896,0.24866688,0.16629903
0.16799006,0.24876852,0.16789852,0.24863067,0.16671216
0.24856207,0.2489262,0.16758002,0.16793084,0.16700086
0.16802783,0.24858883,0.1679272,0.2485823,0.1668738
0.16803767,0.24861388,0.1679312,0.2486109,0.16680628
0.16789596,0.24877538,0.16794537,0.24864995,0.16673334
0.16775015,0.24883805,0.1678815,0.2488686,0.1666617
0.24884625,0.24908337,0.16749908,0.16774869,0.16682251
0.16767801,0.24860853,0.16783148,0.24891545,0.16696657
0.167889,0.16784279,0.24852532,0.24863112,0.1671118
0.16771309,0.16796373,0.2485091,0.24873878,0.16707525
0.16730642,0.16755947,0.24862438,0.24903283,0.1674769
0.24875844,0.24866475,0.16768153,0.16788489,0.16701041
0.24865384,0.24855633,0.16788396,0.1679572,0.16694859
0.16751799,0.24845955,0.16790585,0.2490737,0.16704294
0.16793895,0.24860927,0.16800001,0.2485426,0.16690922
0.16788115,0.2489914,0.16783279,0.24863489,0.16665982
0.1679202,0.24864854,0.16771299,0.24851312,0.16720517
0.16766223,0.16793762,0.24836712,0.24888815,0.16714492
0.16758502,0.16787043,0.24842426,0.2489021,0.16721824
0.16793251,0.24912365,0.16779594,0.24851441,0.16663347
0.16769598,0.24871905,0.16798326,0.24887386,0.16672777
0.16765822,0.24834915,0.16785437,0.24874943,0.16738889
0.16739523,0.16788387,0.24841717,0.24909,0.16721371
0.24849547,0.24890432,0.16785759,0.16798669,0.16675587
0.16744791,0.16771048,0.24858007,0.2490021,0.16725937
0.24884431,0.24972005,0.16762581,0.1678281,0.16598172
0.16764127,0.1676744,0.24823084,0.24870032,0.16775306
0.1674864,0.1674298,0.24866441,0.24883313,0.16758625
0.24918242,0.24932563,0.16763623,0.16767834,0.16617733
0.2488595,0.24904081,0.16782215,0.1678745,0.16640307
0.16746597,0.16783772,0.24857375,0.24889696,0.16722551
0.16795611,0.2488953,0.16777371,0.24847257,0.1669024
0.16770336,0.16774717,0.24858306,0.24874046,0.16722596
0.167375,0.16794233,0.24841972,0.249089,0.16717388
0.16791143,0.16791725,0.24860503,0.24857125,0.16699497
0.16733779,0.16774029,0.2487303,0.24890026,0.16729142
0.16762319,0.16787434,0.24820453,0.2487451,0.16755275
0.16759011,0.16784619,0.24848375,0.24894121,0.16713874
0.16730842,0.16763039,0.24867718,0.2488928,0.16749123
0.16792466,0.16803579,0.24864388,0.24857573,0.16682002
0.16745329,0.16775051,0.24881463,0.2488072,0.1671743
0.16764455,0.24846105,0.16785787,0.24869457,0.16734198
0.24878982,0.24889988,0.1678141,0.16786577,0.16663046
0.16719638,0.1676595,0.24866353,0.24906048,0.16742015
0.24854125,0.24934192,0.16779956,0.16796099,0.1663562
0.16771439,0.24867997,0.16804257,0.24863759,0.16692549
0.16783558,0.16791797,0.24828143,0.24849403,0.16747096
0.16740607,0.16745083,0.24881487,0.24879707,0.1675312
0.1673814,0.1676677,0.24869026,0.24883261,0.16742799
0.16761574,0.16785887,0.24881415,0.2485921,0.16711918
0.16740869,0.16771084,0.24883443,0.24871403,0.16733202
0.16776381,0.16787533,0.24832088,0.24858211,0.16745791
0.1670522,0.1674143,0.24890487,0.24892236,0.16770628
0.16756529,0.16759957,0.24885021,0.24849004,0.16749486
0.1671832,0.16756752,0.2489229,0.24881698,0.16750942
0.16724193,0.16773483,0.24877857,0.24890405,0.16734067
0.1668492,0.16727938,0.16799614,0.24910545,0.24876982
0.1674418,0.16773984,0.24876283,0.24883878,0.16721682
0.167268,0.16757041,0.24886367,0.24877115,0.16752681
0.16727866,0.16768052,0.24888408,0.24891643,0.16724028
0.1673176,0.1679935,0.24866068,0.24892464,0.16710359
0.16696842,0.16746323,0.24862687,0.24909736,0.16784413
0.16765781,0.24926056,0.16790715,0.24877048,0.16640402
0.1671402,0.16722758,0.24904712,0.2487427,0.16784245
0.16735333,0.16766456,0.24883653,0.24869595,0.16744962
0.16727747,0.1678248,0.24885768,0.24880697,0.1672331
0.16745967,0.16747981,0.24861401,0.24866113,0.16778542
0.16737637,0.16762635,0.24889365,0.24863802,0.16746554
0.16702944,0.16749746,0.24897136,0.24893011,0.16757171
0.16719182,0.1677894,0.2488612,0.24888583,0.16727176
0.16755007,0.16795987,0.24880731,0.24865757,0.16702512
0.16744569,0.16752823,0.24867997,0.24863344,0.16771275
0.16671503,0.16713445,0.24921906,0.2490973,0.16783412
0.16680919,0.16768949,0.2490311,0.24918225,0.16728798
0.16670431,0.1672692,0.2492453,0.24903296,0.16774833
0.16741641,0.16789512,0.24894577,0.248656,0.16708669
0.16750006,0.16769855,0.24860662,0.24855863,0.1676361
0.16704245,0.16742316,0.24909015,0.2487931,0.16765119
0.16658472,0.16738878,0.24903211,0.24913989,0.16785455
0.16715586,0.167793,0.2489369,0.24887131,0.16724294
0.1675259,0.16784327,0.24896492,0.24849585,0.16717005
0.16788316,0.24881369,0.24831647,0.16790698,0.1670797
0.16700679,0.16757695,0.24892733,0.24887006,0.16761892
0.16653821,0.16730249,0.24911997,0.24912234,0.16791704
0.16705972,0.16736546,0.24909982,0.24865036,0.16782469
0.16661261,0.16728805,0.24924551,0.24898478,0.16786908
0.16733919,0.16774718,0.24863678,0.24855913,0.16771767
0.16671911,0.16744754,0.24909952,0.24913724,0.16759665
0.16653857,0.16714497,0.24928714,0.24905606,0.1679733
0.1664203,0.16718058,0.24920532,0.24907376,0.16812006
0.16703974,0.16742243,0.24920894,0.24859533,0.16773362
0.16716368,0.16776486,0.2486072,0.2488797,0.16758446
0.16691713,0.16752781,0.24906504,0.24878967,0.16770032
0.16722523,0.16786577,0.24897799,0.24869174,0.16723919
0.166593,0.16751517,0.24909373,0.24901979,0.16777831
0.16639394,0.16704172,0.24935952,0.24901672,0.16818814
0.16731699,0.1680301,0.24861896,0.24869218,0.16734175
0.16632773,0.1669482,0.24934435,0.16814448,0.24923529
0.16680801,0.16728261,0.24926044,0.24872942,0.1679195
0.16687076,0.16767041,0.2491476,0.24883236,0.16747892
0.167033,0.1675057,0.24913086,0.24860723,0.1677232
0.16707173,0.16753674,0.24871336,0.24871483,0.16796331
0.16669194,0.1674519,0.2491364,0.24890575,0.16781391
0.16664289,0.16742693,0.24919324,0.2488851,0.16785176
0.16697802,0.16767214,0.24915034,0.24874763,0.16745192
0.16623867,0.16682848,0.24958195,0.16806684,0.249284
0.16691467,0.16753851,0.24888769,0.24867654,0.16798265
0.16638358,0.16763967,0.2490772,0.24919955,0.16769998
0.16667514,0.16758493,0.24919066,0.24894246,0.16760676
0.16679919,0.16755955,0.24921824,0.24865973,0.16776328
0.1672445,0.24883835,0.24886653,0.16804126,0.16700932
0.16720232,0.16797172,0.24865986,0.24864179,0.1675243
0.16619375,0.16726576,0.24925342,0.24916191,0.16812517
0.1661692,0.1668873,0.24942088,0.16817632,0.24934629
0.16643487,0.16707678,0.24937114,0.16808835,0.24902892
0.16610071,0.16676314,0.24941915,0.16800621,0.24971071
0.16696014,0.1675405,0.24883443,0.16801935,0.24864556
0.16679002,0.1677149,0.24902955,0.2488073,0.16765827
0.16646366,0.16743012,0.24921356,0.24893594,0.1679567
0.16655406,0.16732688,0.24925452,0.24878696,0.16807754
0.16618346,0.16710725,0.24937423,0.16816887,0.24916622
0.16685879,0.16794962,0.24863145,0.24884255,0.16771755
0.16613992,0.16720033,0.24931094,0.1682358,0.24911308
0.16598362,0.16651763,0.24947357,0.16796806,0.25005713
0.16659628,0.16736214,0.24932922,0.16802049,0.2486919
0.16680065,0.16766095,0.24911489,0.24872407,0.16769943
0.16681524,0.16791499,0.24867061,0.24880138,0.16779777
0.16612801,0.16718104,0.24924655,0.16822256,0.24922189
0.16740921,0.24864791,0.24886586,0.16789474,0.16718228
0.16652977,0.16724898,0.24923213,0.16806494,0.24892421
0.16612712,0.1667986,0.24939212,0.16803241,0.24964972
0.16658314,0.16762383,0.16809152,0.24875061,0.24895085
0.16599111,0.16681173,0.24926516,0.16805631,0.24987563
0.16628954,0.1670559,0.24923658,0.16801374,0.24940422
0.16649161,0.16696194,0.24932508,0.16792831,0.24929298
0.16572568,0.16657126,0.2492965,0.16805314,0.25035343
0.16691872,0.16784263,0.24860552,0.16796538,0.24866776
0.16636127,0.16720921,0.24915133,0.16795553,0.24932276
0.16608289,0.16666938,0.24924651,0.16792613,0.25007507
0.1664763,0.16702238,0.24914557,0.16788615,0.24946952
0.16609353,0.16641632,0.24918881,0.16773994,0.25056142
0.16686204,0.16777115,0.24860972,0.16801396,0.24874312
0.16674335,0.16737539,0.24901861,0.16791852,0.24894412
0.16574283,0.16659263,0.24927656,0.16800763,0.25038028
0.16608,0.16649792,0.24912184,0.16781482,0.25048542
0.16593988,0.1667344,0.2490946,0.16796592,0.2502652
0.16663188,0.16786268,0.16803183,0.2486928,0.24878086
0.16598143,0.16677596,0.24909416,0.1679165,0.25023195
0.1664187,0.1669983,0.24915689,0.16788664,0.24953945
0.16634947,0.16713768,0.24906757,0.16794741,0.24949786
0.16682859,0.16715272,0.24901566,0.16773312,0.2492699
0.1663466,0.16803727,0.16800207,0.2489765,0.2486375
0.166346,0.16716592,0.24916635,0.16793494,0.24938683
0.16621588,0.16686316,0.24906926,0.16784601,0.2500057
0.16588518,0.16630845,0.24917717,0.16777883,0.25085035
0.16584702,0.16631944,0.249172,0.16775776,0.2509038
0.16648829,0.16788034,0.1680011,0.2485599,0.24907036
0.16563118,0.16676085,0.24909629,0.16805975,0.25045195
0.16610003,0.1667752,0.24906135,0.16785191,0.25021154
0.16578537,0.16636838,0.2491968,0.1678648,0.2507846
0.16607232,0.16676648,0.24902008,0.16786662,0.25027448
0.16665946,0.16803165,0.24863917,0.1680106,0.24865903
0.24917334,0.2497205,0.16712265,0.167611,0.16637254
0.24988781,0.24962224,0.16711225,0.16752201,0.16585569
0.24980189,0.25055313,0.16692069,0.16742727,0.16529703
0.25090986,0.25010628,0.16693233,0.16701709,0.16503444
0.2500581,0.2501094,0.1670529,0.16738817,0.16539139
0.24986309,0.2498887,0.16700964,0.16730149,0.16593704
0.2504499,0.25030664,0.16687241,0.16720581,0.16516525
0.24967097,0.24959269,0.16727433,0.1675411,0.16592094
0.25026992,0.24992377,0.1670856,0.16728558,0.16543515
0.25031528,0.25002003,0.16696233,0.16727766,0.16542467
0.24950558,0.24921753,0.16721754,0.16751584,0.16654351
0.2492013,0.2491027,0.16742688,0.16776507,0.16650414
0.25066385,0.25046822,0.16684614,0.16709036,0.16493145
0.2498412,0.250277,0.16710533,0.16745402,0.16532244
0.25034368,0.2498592,0.1670234,0.16725622,0.1655175
0.24855654,0.24918579,0.16746543,0.16796978,0.16682248
0.25096565,0.2500173,0.16688949,0.16703016,0.16509743
0.24988559,0.24945728,0.16723575,0.1674577,0.16596368
0.24960166,0.25023893,0.16705465,0.16751651,0.16558827
0.24917552,0.24936481,0.16738492,0.16775252,0.16632229
0.24965848,0.24915574,0.1671754,0.16747832,0.166532
0.2496221,0.24961498,0.16725606,0.16763066,0.1658762
0.25080967,0.25031146,0.16682431,0.16703579,0.16501881
0.24960569,0.24926135,0.16731246,0.16757613,0.16624431
0.24982604,0.24959059,0.16721149,0.16740416,0.16596778
0.24918684,0.2489054,0.1673052,0.16766879,0.16693369
0.25010234,0.24957015,0.16712432,0.16731454,0.16588865
0.24947937,0.24928553,0.16734588,0.16767272,0.16621655
0.24918613,0.24947919,0.16739939,0.16775429,0.16618097
0.2500955,0.24961714,0.16714285,0.16736056,0.16578391
0.2499295,0.24939054,0.16709569,0.16732794,0.16625631
0.25060308,0.24991632,0.16696095,0.16717295,0.16534668
0.24952087,0.24932283,0.1674584,0.16766264,0.16603526
0.24904612,0.24951148,0.16739374,0.16779932,0.16624938
0.24892554,0.24912918,0.16750097,0.16785362,0.16659075
0.24914876,0.24916686,0.16728123,0.16764475,0.16675839
0.24934423,0.24904925,0.16743985,0.16772671,0.16643992
0.24946746,0.24897815,0.16745132,0.1676381,0.16646491
0.24876927,0.2493185,0.16753207,0.16791566,0.16646445
0.24934605,0.24975449,0.16728412,0.16765895,0.16595638
0.24978273,0.24880025,0.16733582,0.16742481,0.1666564
0.24927363,0.24895321,0.16747367,0.16772944,0.16657004
0.24918807,0.24893688,0.16756332,0.16776052,0.16655126
0.24972089,0.24912503,0.1674102,0.16754594,0.16619802
0.25011358,0.2501762,0.16706444,0.167299,0.16534676
0.2495903,0.24902028,0.16720307,0.16747555,0.16671076
0.24901582,0.2494466,0.1673904,0.16781096,0.16633615
0.24884379,0.24890074,0.16764118,0.16786946,0.16674483
0.24973278,0.24993707,0.16713865,0.16751786,0.16567357
0.2487992,0.24923974,0.16755909,0.16787997,0.16652204
0.24918969,0.24891359,0.16731219,0.16761853,0.16696605
0.24957271,0.24921297,0.16735391,0.16755955,0.16630091
0.16800109,0.24895723,0.16762535,0.2485258,0.16689053
0.24930248,0.24940594,0.16736785,0.16772021,0.1662035
0.16802733,0.24882106,0.16768599,0.24862744,0.16683815
