Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.108, 0.119, 0.137, 0.15688383045525894, 0.182, 0.198, 0.214, 0.233, 0.246, 0.257, 0.27247959183673476, 0.287, 0.304, 0.32, 0.348, 0.375, 0.395, 0.436, 0.469, 0.528, 0.595, 0.7100656370656371, 0.808, 0.9127340355497037, 1.03, 1.115, 1.2046444683136412, 1.2650408163265305, 1.317, 1.379, 1.423, 1.4623950437317783, 1.515, 1.549, 1.582091836734694, 1.623, 1.665, 1.698, 1.7280291545189488, 1.767, 1.794, 1.8237949465500485, 1.86, 1.898, 1.92, 1.945, 1.9767110633727178, 2.002, 2.027, 2.06]",1.2,25,-2.4,2.392,2.373
3,"[0.108, 0.11845918367346944, 0.13850927643784788, 0.158, 0.18, 0.198, 0.21126448979591844, 0.231, 0.24045449531163815, 0.256, 0.2696981490270527, 0.2855400874635568, 0.302, 0.324, 0.345, 0.3731275510204083, 0.399, 0.432, 0.468, 0.5149141156462584, 0.597, 0.709, 0.803, 0.933, 1.004, 1.112, 1.203588697017269, 1.262, 1.32, 1.365, 1.43, 1.466, 1.5081938775510206, 1.554, 1.596, 1.627, 1.664297052154195, 1.6985634110787173, 1.7285487528344674, 1.764, 1.8015832438238455, 1.827, 1.8594887218045117, 1.8907823129251702, 1.9161938775510206, 1.945, 1.977, 2.002, 2.026, 2.055]",1.2,25,-2.4,2.394,2.379
4,"[0.107, 0.11752653061224498, 0.138, 0.157, 0.178, 0.195, 0.211, 0.227, 0.241, 0.25385289115646253, 0.26947959183673476, 0.28437959183673445, 0.30257993197278915, 0.323, 0.345, 0.372, 0.39966472303206996, 0.436, 0.4832188208616779, 0.528, 0.604, 0.75, 0.8440455259026686, 0.933, 1.041, 1.122, 1.2008741496598636, 1.261, 1.326, 1.381, 1.43, 1.467, 1.515, 1.552, 1.586, 1.6236359447004607, 1.6642086167800452, 1.697, 1.733, 1.7683654216403542, 1.803, 1.829, 1.8615942857142858, 1.8892323390894814, 1.9209091507570768, 1.946, 1.9771161695447408, 2.0031394557823132, 2.028, 2.061]",1.2,25,-2.4,2.392,2.379
5,"[0.105, 0.117, 0.137, 0.158, 0.178, 0.195, 0.2105252416756175, 0.227, 0.239, 0.254705782312925, 0.271, 0.2832718367346938, 0.302, 0.324, 0.346, 0.372, 0.401351174432037, 0.434, 0.47173996050032907, 0.527, 0.6067925170068025, 0.722202380952381, 0.861, 0.941, 1.023, 1.125, 1.202, 1.278, 1.328, 1.3819093877551019, 1.4276734693877549, 1.470842448979592, 1.5206224489795916, 1.554, 1.6001523493118177, 1.629, 1.668, 1.701, 1.735, 1.7751346938775507, 1.804, 1.836, 1.863619047619047, 1.8983020408163258, 1.924, 1.949, 1.979, 2.003569727891157, 2.03, 2.062]",1.2,25,-2.4,2.393,2.379
6,"[0.106, 0.118, 0.138, 0.159, 0.178, 0.19575510204081634, 0.212, 0.228, 0.242, 0.2551899529042384, 0.26995918367346955, 0.285, 0.303, 0.32, 0.349, 0.374, 0.39966472303206996, 0.43575725026852835, 0.47093937575030004, 0.5361616954474093, 0.616251700680272, 0.7531349206349207, 0.8380455259026686, 0.9491258503401357, 1.036, 1.1268600583090378, 1.2099602577873252, 1.273, 1.325, 1.387, 1.4278177842565596, 1.473, 1.515, 1.56, 1.5888527302813016, 1.6315934065934063, 1.6685251700680268, 1.702, 1.734, 1.775, 1.800582257392753, 1.836, 1.8643909774436092, 1.893, 1.9258435374149656, 1.946, 1.979, 2.004139455782313, 2.03, 2.063]",1.2,25,-2.4,2.391,2.38
7,"[0.108, 0.119, 0.1402790954219525, 0.158, 0.181, 0.199, 0.2127090190915075, 0.227, 0.24343716433941975, 0.255, 0.27271938775510207, 0.286, 0.304, 0.322, 0.351, 0.375, 0.40497959183673476, 0.4396310204081631, 0.478, 0.533, 0.617, 0.7540564784053156, 0.834, 0.952, 1.0550296247531268, 1.1248469387755102, 1.203, 1.268, 1.324, 1.378, 1.433, 1.4738424489795918, 1.519, 1.5545646258503396, 1.59, 1.639, 1.6705251700680268, 1.7072267573696143, 1.7353204081632647, 1.77, 1.8084530612244896, 1.8313911564625847, 1.865, 1.894, 1.9256326530612244, 1.955, 1.981, 2.005, 2.0306122448979584, 2.062]",1.2,25,-2.4,2.39,2.379
8,"[0.106, 0.122, 0.1404421768707479, 0.16, 0.18, 0.198, 0.212, 0.23, 0.24081224489795897, 0.255, 0.273, 0.286507997793712, 0.305, 0.321, 0.34928214285714276, 0.378, 0.4055732838589981, 0.44, 0.492, 0.5371616954474093, 0.6271192266380237, 0.734, 0.869, 0.933, 1.049, 1.1324432653061223, 1.2027482993197267, 1.268, 1.327, 1.3812448979591827, 1.431, 1.4738424489795918, 1.521, 1.557, 1.5908527302813016, 1.64, 1.671, 1.708, 1.735029154518949, 1.776078310393925, 1.809, 1.8357949465500485, 1.8647819548872182, 1.9012323390894814, 1.9256326530612244, 1.946685052399338, 1.982, 2.00606693877551, 2.030833819241982, 2.063]",1.2,25,-2.4,2.39,2.377
9,"[0.106, 0.118, 0.14031037414965986, 0.16, 0.18135591836734685, 0.1977648979591837, 0.214, 0.2316309523809527, 0.242, 0.25550170068027217, 0.2710408163265305, 0.287, 0.304, 0.322, 0.349, 0.376, 0.403, 0.44, 0.473, 0.5385575139146569, 0.6330408163265309, 0.7480396825396827, 0.832, 0.952, 1.039, 1.1363844897959183, 1.209, 1.272, 1.332, 1.3777315541601252, 1.428, 1.479, 1.515, 1.5615515719801434, 1.594, 1.633, 1.6721201814058957, 1.712, 1.735, 1.776229591836735, 1.8101283739302172, 1.836, 1.869, 1.903, 1.928, 1.949, 1.9820530612244893, 2.00412925170068, 2.034, 2.064]",1.2,25,-2.4,2.39,2.376
10,"[0.108, 0.12008948194662472, 0.14, 0.16, 0.182, 0.198, 0.212, 0.22684523809523813, 0.243, 0.254, 0.268, 0.28621922317314014, 0.3042783673469388, 0.322, 0.353, 0.376, 0.39943537414965957, 0.442, 0.478, 0.538, 0.6300906122448979, 0.7368847926267281, 0.871, 0.9540629251700679, 1.056, 1.133, 1.205, 1.287, 1.328, 1.3876224489795914, 1.433, 1.47, 1.515, 1.5568756073858112, 1.607, 1.635721804511278, 1.671, 1.708, 1.734, 1.769, 1.806, 1.8353911564625847, 1.865, 1.9, 1.918820074968763, 1.95, 1.9775404081632655, 2.011, 2.030319911748483, 2.06]",1.2,25,-2.4,2.386,2.374
11,"[0.109, 0.122, 0.142, 0.159, 0.18, 0.197, 0.212, 0.22725357142857142, 0.2414414374445429, 0.25494104308390025, 0.273, 0.286, 0.304, 0.322, 0.349, 0.37645408163265287, 0.405, 0.44, 0.4822188208616779, 0.54, 0.6301029684601113, 0.737, 0.887, 0.961, 1.0294167561761545, 1.1248469387755102, 1.211, 1.275, 1.328, 1.3884879406307977, 1.4338177842565596, 1.469, 1.521, 1.5573755102040814, 1.5915459183673468, 1.629, 1.6685251700680268, 1.707420068027211, 1.732, 1.7672806122448976, 1.804, 1.8333911564625847, 1.8635942857142858, 1.898, 1.917, 1.946, 1.976, 2.002, 2.026953469387755, 2.059]",1.2,25,-2.4,2.383,2.372
12,"[0.108, 0.12008948194662472, 0.13911054421768704, 0.159, 0.18088435374149578, 0.198, 0.21277551020408111, 0.231, 0.242, 0.25441156462584996, 0.271, 0.285, 0.3027732426303854, 0.323, 0.35036405529953907, 0.377, 0.405, 0.4406310204081631, 0.47932823129251684, 0.538, 0.629, 0.780202380952381, 0.8760455259026686, 0.949531462585034, 1.054, 1.1289234693877552, 1.21, 1.2750163265306123, 1.328, 1.386, 1.4279081632653057, 1.4738424489795918, 1.5213689795918366, 1.552, 1.601, 1.6297885714285711, 1.669, 1.708, 1.735, 1.776, 1.805, 1.836, 1.8650742857142857, 1.899, 1.923, 1.948, 1.979, 2.003, 2.028, 2.058]",1.2,25,-2.4,2.388,2.372
13,"[0.107, 0.12105287569573278, 0.13865120593692012, 0.16, 0.181, 0.197, 0.21266326530612184, 0.23036224489795915, 0.242, 0.25485289115646254, 0.271, 0.286, 0.3023163265306122, 0.321, 0.3492781954887217, 0.37545408163265287, 0.40566472303206996, 0.439, 0.487, 0.541, 0.639, 0.779, 0.8585723562152132, 0.941, 1.055, 1.127, 1.215, 1.2750313971742542, 1.3237976190476186, 1.3842824919441459, 1.4334359183673466, 1.470842448979592, 1.51, 1.552891156462585, 1.601, 1.627, 1.669, 1.7024200680272108, 1.73, 1.774, 1.8011812244897958, 1.83, 1.861, 1.8912323390894814, 1.9189091507570768, 1.944685052399338, 1.9750604081632652, 2.0, 2.026, 2.057]",1.2,25,-2.4,2.385,2.371
