Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.095, 0.103, 0.114, 0.133, 0.152, 0.171, 0.18830612244897948, 0.203, 0.22007256235827635, 0.23618995290423841, 0.248, 0.265, 0.28082993197278905, 0.3023972303206996, 0.32197023809523806, 0.347, 0.375, 0.403, 0.443, 0.483, 0.528, 0.631, 0.7644119897959182, 0.858, 0.948, 1.07234693877551, 1.155, 1.2152130102040815, 1.2713458646616538, 1.315, 1.38, 1.426, 1.4658892128279883, 1.503, 1.556173654916512, 1.58, 1.6196575510204083, 1.654695447409733, 1.694, 1.724, 1.752470663265306, 1.791, 1.816404761904762, 1.847, 1.8771273469387755, 1.9052789115646256, 1.932, 1.96, 1.987, 2.015]",1.2,25,-2.4,2.335,2.331
3,"[0.096, 0.106, 0.11846712018140604, 0.13343716433942002, 0.15480045351473926, 0.17274040816326525, 0.189, 0.20730952380952375, 0.22018172983479095, 0.2374229591836734, 0.2501683673469388, 0.26514192949907245, 0.279, 0.304, 0.328142857142857, 0.34842122448979584, 0.38177210884353724, 0.41, 0.452736394557823, 0.489, 0.538, 0.63, 0.776515306122449, 0.883, 0.97, 1.062, 1.162, 1.217, 1.278, 1.321, 1.3854824489795916, 1.428, 1.4685306122448978, 1.504, 1.558, 1.592, 1.6251670918367347, 1.655, 1.6886777658431795, 1.727, 1.7590400604686318, 1.7884319727891151, 1.819, 1.856, 1.884, 1.908, 1.934, 1.964, 1.986, 2.016]",1.2,25,-2.4,2.337,2.331
4,"[0.097, 0.106, 0.11660741138560694, 0.1343741496598643, 0.156, 0.175, 0.19262448979591873, 0.206, 0.222, 0.24, 0.25148979591836723, 0.266, 0.284, 0.305140589569161, 0.329, 0.358, 0.38305442176870746, 0.4109455782312925, 0.45, 0.485, 0.5319139547710977, 0.623, 0.773, 0.881, 0.976, 1.07, 1.16, 1.222646501457726, 1.279, 1.324, 1.3880489795918367, 1.431, 1.469, 1.5069455782312924, 1.554, 1.583, 1.624, 1.658, 1.699, 1.7237354227405248, 1.758, 1.788, 1.823, 1.852829215896885, 1.8843163265306124, 1.908, 1.9346993932708219, 1.9623761720904576, 1.99, 2.015]",1.2,25,-2.4,2.338,2.331
5,"[0.097, 0.10667755102040813, 0.116, 0.13431053502482074, 0.157, 0.17483243823845332, 0.192, 0.20609523809523791, 0.2244614878209347, 0.238, 0.251, 0.26634583563154984, 0.28, 0.3054448979591835, 0.327, 0.34933795918367333, 0.38373940345368907, 0.4115646258503398, 0.451, 0.485, 0.545, 0.636, 0.7730591836734692, 0.892312925170068, 0.98, 1.07878231292517, 1.159, 1.206, 1.282, 1.3260612244897958, 1.383, 1.4288435374149653, 1.466, 1.503, 1.547, 1.592, 1.6256564625850336, 1.658, 1.686, 1.7225096670247044, 1.756579277864992, 1.79, 1.82, 1.85, 1.8831273469387755, 1.9085838192419824, 1.936, 1.963, 1.985, 2.015]",1.2,25,-2.4,2.335,2.331
6,"[0.098, 0.109, 0.119, 0.138, 0.156755857898715, 0.17574040816326525, 0.19150863422292005, 0.206, 0.222, 0.237, 0.252, 0.26931224489795924, 0.28600897959183663, 0.306, 0.331, 0.35153324555628696, 0.384, 0.422, 0.453736394557823, 0.491, 0.54, 0.6338057142857142, 0.791, 0.8893660302830809, 0.975, 1.078, 1.1703044217687073, 1.227, 1.283142857142857, 1.3321632653061224, 1.386, 1.431, 1.4720221088435375, 1.508, 1.552, 1.5927603686635943, 1.624, 1.66, 1.687, 1.7255257787325455, 1.759, 1.789, 1.821626984126984, 1.855, 1.881, 1.914, 1.937, 1.966094522019334, 1.987475918367347, 2.018]",1.2,25,-2.4,2.335,2.329
7,"[0.099, 0.109, 0.119, 0.139, 0.15874421768707495, 0.1778002148227711, 0.19471114599686062, 0.209, 0.225, 0.241, 0.253, 0.271, 0.28541496598639426, 0.308, 0.332, 0.358, 0.38705442176870747, 0.42028902371759524, 0.454, 0.491, 0.551, 0.6754920634920634, 0.797, 0.891, 0.9842849854227405, 1.075, 1.169, 1.228, 1.281, 1.332, 1.39, 1.4341054421768704, 1.4732176870748297, 1.50978231292517, 1.56, 1.592, 1.626, 1.6608084772370484, 1.689, 1.7306326530612248, 1.761, 1.797, 1.825, 1.8563755102040815, 1.885, 1.911, 1.935, 1.9665799319727888, 1.989, 2.02]",1.2,25,-2.4,2.335,2.329
8,"[0.099, 0.108, 0.121, 0.141, 0.16022108843537403, 0.178, 0.194, 0.209, 0.225, 0.239, 0.254, 0.27, 0.286, 0.309, 0.331, 0.354, 0.3937394034536891, 0.4155646258503398, 0.455, 0.5, 0.548, 0.675, 0.799, 0.895, 0.9818904403866808, 1.09, 1.147, 1.227, 1.286, 1.347, 1.3899081632653056, 1.4299505907626204, 1.474, 1.511, 1.56, 1.592, 1.6303884839650145, 1.663, 1.692, 1.7252244897959181, 1.762, 1.793, 1.824, 1.8547905477980662, 1.886, 1.909, 1.9410539358600583, 1.964, 1.9933481392557022, 2.018]",1.2,25,-2.4,2.335,2.329
9,"[0.099, 0.109, 0.1198345864661654, 0.139, 0.161, 0.17935714285714252, 0.196, 0.209, 0.225, 0.23864092664092662, 0.253, 0.26949714285714277, 0.2867142857142854, 0.3090476190476191, 0.33476923076923065, 0.35612244897959205, 0.3962685714285713, 0.423, 0.457, 0.4985576036866359, 0.583, 0.685, 0.788, 0.913, 0.986, 1.0834285714285714, 1.166, 1.224, 1.2815384615384613, 1.3269025974025972, 1.392, 1.4302704081632651, 1.467, 1.504517857142857, 1.544, 1.5826279069767442, 1.615, 1.652, 1.685, 1.726, 1.756, 1.79, 1.8201428571428573, 1.851, 1.8791885714285712, 1.902, 1.926, 1.957, 1.981, 2.009]",1.2,25,-2.4,2.324,2.323
10,"[0.098, 0.10727673469387751, 0.11775886143931262, 0.136, 0.15812872841444253, 0.17513265306122447, 0.191, 0.205, 0.22155646258503411, 0.23776658163265305, 0.251, 0.2687770800627945, 0.285, 0.304, 0.327, 0.3513673469387757, 0.384, 0.411, 0.4522108843537415, 0.487, 0.532, 0.664, 0.791, 0.891, 0.974, 1.069612244897959, 1.159, 1.2, 1.272, 1.3262253061224492, 1.3842731554160124, 1.428, 1.464, 1.506, 1.554, 1.5848571428571427, 1.618, 1.6523864384463463, 1.6904139941690952, 1.713, 1.75, 1.7785544217687075, 1.816, 1.839, 1.876, 1.898, 1.926, 1.955, 1.974, 2.008]",1.2,25,-2.4,2.324,2.325
11,"[0.098, 0.109, 0.121, 0.13892489795918367, 0.161, 0.17596382189239332, 0.194170784103115, 0.208, 0.2271291128696377, 0.24, 0.251, 0.271, 0.286, 0.3092108843537415, 0.33412755102040814, 0.35487470336972005, 0.394, 0.418, 0.452, 0.5, 0.56, 0.662, 0.791, 0.9111875344732487, 0.985, 1.081, 1.1698435374149658, 1.226646501457726, 1.282, 1.33, 1.389, 1.434, 1.476572244897959, 1.513, 1.5516326530612243, 1.5964962406015037, 1.63, 1.663, 1.6946510204081633, 1.725, 1.762, 1.789, 1.823988571428571, 1.8563755102040815, 1.888, 1.909, 1.9366027696793, 1.969, 1.987, 2.019]",1.2,25,-2.4,2.334,2.328
12,"[0.098, 0.10911417539988974, 0.12157795918367348, 0.139, 0.157, 0.17901020408163262, 0.195, 0.207, 0.22387959183673473, 0.24, 0.254, 0.269, 0.286, 0.31, 0.33, 0.355, 0.3855839874411302, 0.41740136054421756, 0.454, 0.4904819466248038, 0.5623161182840484, 0.69, 0.7942244897959184, 0.9107980665950591, 0.9868098818474759, 1.0747006802721086, 1.1760464852607708, 1.2267400644468311, 1.283, 1.331, 1.3897482993197279, 1.434, 1.4754473469387754, 1.514, 1.557, 1.5956766917293235, 1.632, 1.6645488141202425, 1.702, 1.723, 1.762, 1.795, 1.823, 1.853, 1.887, 1.915, 1.939, 1.963, 1.992, 2.019]",1.2,25,-2.4,2.335,2.328
13,"[0.099, 0.11, 0.12156009070294799, 0.13985557299843016, 0.15842964554242772, 0.179, 0.195, 0.209, 0.227, 0.242, 0.254, 0.271, 0.2871915227629512, 0.3107831632653062, 0.335, 0.35804709576138166, 0.392, 0.415, 0.456, 0.497, 0.56, 0.693, 0.794, 0.9, 0.991613814756672, 1.075, 1.1702290249433107, 1.227, 1.2843492063492066, 1.338, 1.393, 1.435, 1.478, 1.514, 1.555, 1.589, 1.63, 1.662, 1.693, 1.736, 1.754, 1.79, 1.8244924812030072, 1.855, 1.8861518367346939, 1.912, 1.935, 1.965, 1.991, 2.016]",1.2,25,-2.4,2.332,2.326
14,"[0.099, 0.10945918367346945, 0.123, 0.13983236151603498, 0.162, 0.178, 0.196, 0.209, 0.22531802721088423, 0.2407297162767546, 0.255, 0.271, 0.2860374149659861, 0.31, 0.336, 0.357, 0.38694530612244893, 0.4198639455782312, 0.456, 0.5, 0.561, 0.686, 0.8042244897959183, 0.9127338775510203, 0.995, 1.096, 1.1684058956916097, 1.2264888682745825, 1.2797067669172932, 1.3410529509100937, 1.396, 1.439, 1.477, 1.5138639455782312, 1.562, 1.59, 1.63, 1.663, 1.704, 1.723, 1.762, 1.791, 1.826188775510204, 1.859, 1.887, 1.91, 1.935, 1.968, 1.99, 2.018]",1.2,25,-2.4,2.332,2.326
15,"[0.099, 0.11004163265306119, 0.122, 0.14, 0.159, 0.17591156462585036, 0.194, 0.208, 0.224, 0.238, 0.25336734693877555, 0.2714191522762954, 0.287, 0.309140589569161, 0.334, 0.35587470336972005, 0.396, 0.4179455782312925, 0.462, 0.49459183673469476, 0.5648673469387755, 0.682, 0.808, 0.915, 0.9967979591836734, 1.081, 1.169, 1.2254790547798067, 1.283, 1.33, 1.399094191522763, 1.442, 1.4795722448979591, 1.516, 1.56, 1.601, 1.632898775510204, 1.6679004081632651, 1.705, 1.7352653061224492, 1.763, 1.789, 1.8247485714285712, 1.853829215896885, 1.89, 1.914, 1.94, 1.9673236829615566, 1.994, 2.021]",1.2,25,-2.4,2.336,2.329
16,"[0.101, 0.111, 0.123, 0.141, 0.16, 0.177, 0.19471114599686062, 0.208, 0.22638653061224495, 0.241, 0.255, 0.273, 0.287, 0.3102108843537415, 0.335, 0.361, 0.39, 0.43028902371759525, 0.45694938775510197, 0.498, 0.57, 0.6638742857142856, 0.787, 0.9118632101489244, 0.997, 1.095, 1.1718435374149658, 1.225, 1.287, 1.331, 1.395, 1.44, 1.478572244897959, 1.516, 1.558, 1.588, 1.6318016136687232, 1.665, 1.6983020408163265, 1.725510204081633, 1.7621814058956915, 1.795, 1.823, 1.8526302040816327, 1.888, 1.912, 1.939, 1.966, 1.992, 2.019]",1.2,25,-2.4,2.334,2.326
17,"[0.099, 0.10970408163265305, 0.12166122448979588, 0.14072090457804742, 0.158, 0.18001360544217682, 0.195, 0.206, 0.2244520851818989, 0.241, 0.25408163265306105, 0.271, 0.2868277551020408, 0.311, 0.33288095238095233, 0.358, 0.388, 0.42, 0.45494951664876476, 0.504, 0.5663161182840483, 0.6717597402597404, 0.8193086734693877, 0.912, 0.995, 1.1, 1.176, 1.2335021865889213, 1.285, 1.3308246001103143, 1.39, 1.437, 1.4804473469387756, 1.5164013605442177, 1.557, 1.6010276497695852, 1.636, 1.665, 1.697, 1.728, 1.7634362244897956, 1.791, 1.827, 1.8600698174006445, 1.889, 1.916, 1.939, 1.97125850340136, 1.993, 2.022]",1.2,25,-2.4,2.334,2.326
