0,1,2,3,4
0.0638411,0.3973735,0.4964254,0.01922892,0.023131128
0.052662715,0.29423866,0.6211586,0.015118346,0.0168217
0.039661035,0.102900036,0.82911044,0.0133517245,0.01497677
0.06307803,0.15008205,0.750045,0.01735281,0.019442134
0.060983434,0.12354751,0.7724476,0.02059461,0.022426851
0.04956756,0.18033354,0.7317227,0.018424237,0.019951953
0.04076845,0.108828574,0.8187812,0.014973592,0.016648203
0.058565367,0.10751324,0.7894144,0.020337636,0.024169438
0.077573895,0.13129792,0.72321427,0.031708457,0.036205467
0.061911598,0.116010234,0.7685124,0.02556601,0.027999721
0.035185043,0.06843108,0.8646899,0.014268784,0.017425261
0.04378741,0.0829497,0.8363826,0.017239816,0.01964046
0.066813074,0.103870325,0.76993716,0.028775375,0.030604072
0.06975571,0.038332123,0.8551673,0.017849607,0.018895183
0.035843637,0.06393506,0.8687581,0.01484344,0.016619854
0.03722126,0.065042056,0.86243075,0.016902257,0.018403655
0.060212646,0.13722897,0.7466841,0.0261119,0.02976242
0.068714105,0.13101254,0.73136723,0.032101553,0.03680454
0.053596377,0.03568949,0.874165,0.016977523,0.01957164
0.06492695,0.04488716,0.84356487,0.021557808,0.025063256
0.06761949,0.16177706,0.6948534,0.03423074,0.041519295
0.13343668,0.05739198,0.7141035,0.0436343,0.051433545
0.049667243,0.08760926,0.80034685,0.02772684,0.034649756
0.04949251,0.08397611,0.799535,0.028887674,0.038108706
0.089683056,0.056124415,0.7723003,0.036779117,0.045113042
0.04911173,0.07162106,0.8108873,0.030876273,0.037503656
0.076658085,0.047597367,0.81358474,0.03024678,0.031912953
0.09513282,0.040101152,0.78433686,0.037252195,0.043177072
0.06981274,0.09779943,0.73048156,0.046030868,0.05587539
0.067625746,0.11210487,0.7038611,0.053856526,0.06255181
0.0778137,0.1117199,0.6889478,0.052499868,0.069018744
0.116195984,0.07468629,0.653002,0.071868315,0.084247366
0.099639975,0.053020738,0.75427085,0.043036044,0.050032318
0.13148026,0.071801774,0.6274801,0.0763024,0.092935495
0.08055117,0.054748368,0.68486816,0.06690382,0.11292845
0.07404105,0.07714102,0.6755902,0.06666876,0.106558986
0.08336042,0.12383837,0.6548937,0.061213758,0.0766937
0.09389042,0.09147954,0.52217585,0.09474064,0.19771358
0.10004863,0.092174456,0.53686523,0.0916612,0.17925051
0.095167875,0.07651109,0.5748643,0.09283892,0.16061775
0.10954274,0.1008209,0.5243693,0.10411904,0.16114804
0.095494166,0.085247576,0.52498364,0.105569325,0.18870533
0.110161684,0.08055734,0.4778511,0.11214557,0.2192843
0.111176275,0.09525413,0.5026371,0.11008589,0.18084654
0.113304764,0.08570086,0.37369436,0.14456698,0.28273296
0.10050696,0.0724562,0.43645072,0.1267842,0.26380193
0.101143256,0.060265806,0.5315756,0.1001843,0.20683104
0.09340339,0.06589331,0.58369815,0.09955345,0.15745173
0.09649125,0.08544804,0.43373045,0.13737565,0.24695465
0.11371783,0.109400064,0.3193111,0.1555724,0.30199862
0.11744603,0.07656923,0.31591114,0.16210742,0.3279662
0.116228685,0.10383032,0.2967419,0.17591672,0.3072824
0.103970364,0.09341737,0.16775368,0.2726071,0.36225143
0.107693866,0.07181325,0.17769934,0.30251178,0.3402817
0.109184474,0.089672334,0.1742064,0.28735512,0.33958164
0.102115735,0.0842241,0.15055493,0.30504555,0.35805973
0.1011365,0.07777767,0.17035227,0.2947915,0.35594207
0.11469252,0.088629775,0.16728865,0.29419547,0.3351936
0.09761635,0.07708845,0.13374315,0.35721755,0.33433452
0.095543645,0.075406596,0.1251234,0.31266564,0.39126077
0.0834765,0.05429264,0.11597328,0.35797513,0.38828254
0.08392825,0.058188017,0.11125424,0.32396007,0.42266944
0.07697481,0.065540366,0.099406816,0.3575761,0.4005019
0.08490498,0.081606336,0.098058715,0.3434678,0.39196217
0.07733211,0.045857873,0.11196693,0.40039986,0.36444318
0.09788106,0.07597321,0.1300852,0.35822913,0.33783138
0.07297004,0.061022293,0.092038274,0.36187103,0.41209826
0.0709527,0.05514271,0.0782274,0.30306557,0.4926116
0.077256985,0.060042616,0.095451154,0.37502986,0.39221933
0.07186483,0.066835694,0.08579928,0.34724882,0.42825145
0.04900602,0.042493463,0.05586415,0.34569797,0.50693834
0.07677518,0.06634964,0.093517706,0.3494776,0.41387993
0.06796247,0.05143657,0.06912611,0.44669592,0.3647789
0.05792417,0.057737727,0.05647284,0.40657467,0.4212906
0.052305084,0.033508588,0.05397399,0.42854828,0.4316641
0.056471974,0.03601305,0.057044096,0.39629585,0.45417506
0.05364969,0.0414251,0.05182349,0.45208174,0.40101996
0.046989217,0.03532965,0.042255335,0.39414224,0.48128352
0.04408114,0.034011114,0.0344075,0.42613316,0.46136716
0.050378747,0.03897512,0.046545774,0.46143642,0.40266398
0.032439917,0.024516454,0.028268,0.5537961,0.36097953
0.040686935,0.02941526,0.03733594,0.39252207,0.5000398
0.048333477,0.03802179,0.038083937,0.48419106,0.39136976
0.047280256,0.03549639,0.039451677,0.5101657,0.3676059
0.03181544,0.023634905,0.028223904,0.44023135,0.4760944
0.04817092,0.04288628,0.04069345,0.45767215,0.41057727
0.034674663,0.031911004,0.03046099,0.5399301,0.36302322
0.035369623,0.028513603,0.030774761,0.525422,0.37992007
0.037175514,0.033726152,0.030891545,0.47852117,0.4196856
0.034228217,0.02805734,0.029698694,0.5613462,0.34666955
0.04056082,0.027439836,0.027480664,0.5327177,0.37180096
0.025688274,0.02287208,0.019578082,0.53523016,0.3966314
0.03919481,0.034074385,0.030956658,0.5067657,0.3890084
0.032720115,0.028403165,0.024261165,0.54904336,0.3655722
0.025397802,0.020165276,0.019723618,0.49086374,0.4438496
0.01889085,0.013283498,0.013717244,0.5441172,0.40999115
0.025536671,0.0236276,0.018590594,0.6185674,0.31367773
0.024113001,0.021385362,0.015985511,0.5749581,0.36355802
0.020929098,0.018257571,0.015821652,0.57902473,0.36596695
0.01602382,0.01475624,0.011908972,0.53710073,0.42021024
0.017527923,0.014260459,0.012984875,0.51306725,0.44215956
0.019308146,0.016126147,0.012789715,0.71025115,0.24152488
0.020455752,0.01563844,0.013910463,0.70220935,0.24778599
0.01808003,0.017111925,0.012532376,0.69292283,0.2593529
0.019162254,0.013062738,0.01253973,0.6483017,0.3069336
0.020272944,0.014908948,0.013049057,0.61943424,0.33233485
0.01741364,0.015335151,0.011690108,0.69465446,0.26090667
0.015146946,0.013586911,0.009929675,0.64937234,0.31196412
0.016492695,0.0125495,0.010631364,0.56472105,0.39560542
0.013767724,0.012596331,0.009715813,0.69856155,0.26535857
0.011438024,0.009119549,0.007784364,0.69307214,0.27858594
0.013544409,0.011566891,0.009515238,0.6113406,0.3540328
0.020374652,0.016340563,0.012593221,0.7255359,0.22515556
0.011638155,0.010339705,0.008004956,0.6774959,0.29252127
0.012490755,0.0106651215,0.008633679,0.6672052,0.30100524
0.011614748,0.010185967,0.008117186,0.7491583,0.2209238
0.015064557,0.012987026,0.009632634,0.7306102,0.23170565
0.01193562,0.010159907,0.008238877,0.68188214,0.28778347
0.011982531,0.008875953,0.007829248,0.6697008,0.30161148
0.011213418,0.008701201,0.0075387973,0.7465784,0.22596818
0.008698698,0.007493739,0.0055047064,0.7122607,0.26604214
0.009081204,0.007690022,0.0059192264,0.74344355,0.23386598
0.008232725,0.0071883188,0.005274356,0.75635433,0.22295024
