Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.098, 0.11, 0.12722108843537394, 0.14692051557465083, 0.163, 0.18037695078031207, 0.202, 0.21474654377880176, 0.23175801749271102, 0.245, 0.2593596938775511, 0.27539183673469375, 0.2916041890440386, 0.3069248979591835, 0.326, 0.358, 0.383, 0.42, 0.455, 0.503, 0.567, 0.6856541353383458, 0.7914359925788497, 0.912, 1.0256091051805334, 1.117, 1.183, 1.23, 1.2947738095238093, 1.337, 1.402, 1.439, 1.4878892128279884, 1.523, 1.553, 1.595, 1.6313750689464974, 1.6593360544217686, 1.703, 1.7297666850523992, 1.762, 1.7888610928242263, 1.823, 1.853, 1.879, 1.91, 1.934, 1.96, 1.9916122448979585, 2.011]",1.2,25,-2.4,2.328,2.336
3,"[0.099, 0.112, 0.131, 0.148, 0.1689861224489795, 0.184, 0.202, 0.2162301587301587, 0.23275801749271102, 0.246, 0.262, 0.276, 0.292829931972789, 0.3083741496598628, 0.33, 0.356, 0.39, 0.426, 0.463, 0.506, 0.577, 0.7077012987012987, 0.794, 0.902562925170068, 1.0414918367346933, 1.116, 1.18, 1.242, 1.299, 1.342, 1.4072577873254561, 1.441, 1.486, 1.524, 1.565, 1.595362637362637, 1.634, 1.672, 1.703, 1.738, 1.766, 1.801, 1.825, 1.851, 1.876, 1.911, 1.9341161695447406, 1.961778911564626, 1.992, 2.016]",1.2,25,-2.4,2.32,2.327
4,"[0.101, 0.113, 0.13122108843537394, 0.153, 0.17055490767735648, 0.186, 0.203, 0.217, 0.23293224489795908, 0.24695578231292517, 0.26282277121374864, 0.276, 0.29465986394557797, 0.3089248979591835, 0.335, 0.363, 0.386, 0.4269073129251699, 0.46257823129251685, 0.5116232339089479, 0.5954591836734693, 0.714, 0.814, 0.925, 1.042, 1.124, 1.1888741496598636, 1.2416281632653061, 1.3, 1.344, 1.408078999341672, 1.441614512471655, 1.492, 1.528, 1.5702959183673468, 1.5967760617760616, 1.636, 1.666, 1.7083204081632646, 1.737, 1.767, 1.798, 1.828154761904762, 1.853, 1.889, 1.905, 1.9390397422126746, 1.962, 1.992, 2.018]",1.2,25,-2.4,2.326,2.333
5,"[0.102, 0.113, 0.133, 0.15088383045525894, 0.16594217687074786, 0.18732312925170058, 0.204, 0.217, 0.235, 0.246, 0.263, 0.27819978517722865, 0.296, 0.3106870748299314, 0.335536866359447, 0.36, 0.386, 0.429, 0.47, 0.52, 0.5823775510204079, 0.718, 0.8177436734693876, 0.921750566893424, 1.017, 1.127, 1.1922185374149659, 1.239, 1.307, 1.344, 1.405, 1.45, 1.49, 1.5196155102040814, 1.56, 1.5971885714285714, 1.636, 1.665, 1.704, 1.738, 1.768, 1.7921302982731555, 1.825, 1.8506767707082832, 1.879, 1.9137024704618688, 1.9360794844253488, 1.961, 1.99, 2.018]",1.2,25,-2.4,2.323,2.329
6,"[0.102, 0.11173129251700681, 0.135, 0.154, 0.17, 0.185, 0.204, 0.216, 0.234, 0.248, 0.262, 0.27787183673469373, 0.295, 0.30890118152524143, 0.339, 0.361, 0.395, 0.4296292517006798, 0.473, 0.512, 0.587, 0.717, 0.808, 0.926, 1.04, 1.124, 1.194, 1.2464280968201233, 1.299, 1.341, 1.4, 1.441, 1.486, 1.519, 1.569, 1.598, 1.635, 1.669, 1.7062464678178957, 1.737, 1.767, 1.797, 1.8265942857142858, 1.853, 1.884, 1.909, 1.935, 1.96, 1.991, 2.017]",1.2,25,-2.4,2.32,2.328
7,"[0.102, 0.11461117078410314, 0.132, 0.153, 0.169, 0.18453276047261002, 0.202, 0.217, 0.233, 0.2461589688506983, 0.263, 0.277, 0.294, 0.309, 0.337, 0.365, 0.3907153598281417, 0.43, 0.466, 0.517, 0.611, 0.7214821428571427, 0.826, 0.915, 1.019, 1.118, 1.184426303854875, 1.25, 1.302, 1.343, 1.4, 1.441, 1.481, 1.521, 1.5662925170068025, 1.594, 1.6335450680272108, 1.664, 1.708, 1.736, 1.766350799779371, 1.797, 1.825, 1.849, 1.876, 1.91, 1.934, 1.961, 1.9925918367346924, 2.013]",1.2,25,-2.4,2.315,2.325
8,"[0.101, 0.116, 0.135, 0.14988383045525894, 0.1709861224489795, 0.18667071152785436, 0.205, 0.217, 0.234, 0.24663718820861663, 0.264, 0.278, 0.295, 0.312, 0.34, 0.363, 0.395, 0.434, 0.47, 0.517, 0.5896887755102038, 0.734, 0.832, 0.9433752834467118, 1.041, 1.119, 1.1964370748299318, 1.243, 1.301, 1.358, 1.4091959183673468, 1.44, 1.493, 1.531, 1.569, 1.6043626373626372, 1.637, 1.666, 1.706, 1.734, 1.77, 1.797, 1.827297142857143, 1.853, 1.8774873469387752, 1.901812047399605, 1.937079484425349, 1.962, 1.992, 2.013]",1.2,25,-2.4,2.318,2.328
9,"[0.102, 0.11359833024118741, 0.133, 0.155, 0.169, 0.18696938775510177, 0.20305155746509115, 0.217, 0.233, 0.246, 0.26271938775510206, 0.277, 0.295, 0.3118122448979588, 0.335, 0.359, 0.395, 0.433, 0.4755782312925168, 0.523, 0.621, 0.741, 0.8307436734693876, 0.942, 1.009, 1.122, 1.189, 1.2454929356357927, 1.3072119815668202, 1.3432074829931973, 1.402, 1.442, 1.486974983541804, 1.52, 1.5682367346938775, 1.5981885714285713, 1.6314376417233558, 1.6710850340136054, 1.704, 1.733, 1.7680589569160998, 1.7950677551020409, 1.824, 1.8533020408163259, 1.881, 1.915, 1.9385404081632653, 1.956365403304179, 1.987538033395176, 2.013]",1.2,25,-2.4,2.318,2.325
10,"[0.101, 0.115, 0.132, 0.151, 0.1686473922902493, 0.185, 0.20307535321821013, 0.214, 0.233, 0.246, 0.259, 0.2757535321821033, 0.291, 0.3124448979591835, 0.3316543778801843, 0.363, 0.393, 0.429, 0.4725782312925168, 0.515, 0.606351020408163, 0.715, 0.822, 0.915, 1.027, 1.122423469387755, 1.1858648979591835, 1.241, 1.307, 1.352, 1.406, 1.446, 1.491, 1.534, 1.567, 1.6016233766233765, 1.642, 1.675, 1.706, 1.737, 1.7646150278293133, 1.792, 1.829, 1.855, 1.881020408163265, 1.906, 1.9411161695447408, 1.965, 1.99, 2.015]",1.2,25,-2.4,2.322,2.324
11,"[0.101, 0.116, 0.13411054421768703, 0.155, 0.16898072562358263, 0.1866745435016111, 0.20413994169096164, 0.21756349206349193, 0.233, 0.248, 0.2634387755102039, 0.2784452690166975, 0.297, 0.3113741496598628, 0.335, 0.368, 0.3997394034536891, 0.4332642029784886, 0.469, 0.52, 0.602, 0.745, 0.8297436734693876, 0.942, 1.042, 1.121, 1.198, 1.241, 1.302, 1.344, 1.403, 1.444, 1.486, 1.527, 1.569, 1.5946685714285713, 1.635, 1.6726016326530613, 1.704, 1.73, 1.768, 1.799, 1.824309523809524, 1.8477541601255887, 1.876, 1.9095338775510202, 1.934, 1.957, 1.99, 2.01]",1.2,25,-2.4,2.312,2.323
